,Unnamed: 0,Unnamed: 0.1,Source,Target,Travel_time,Demand,Demand_per_minute,Routes,|V|,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14
0,0,0,0,1,8.0,800.0,100.0,0-1*,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,0,2,25.0,3420.0,136.8,0-1-4-3-5-2*,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2,0,2,18.0,2900.0,161.11111111111111,0-1-3-5-2*,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,2,10.0,1300.0,130.0,0-1-2*,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,5,0,3,17.0,2900.0,170.58823529411762,0-1-2-5-3*,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,6,0,3,18.0,1460.0,81.1111111111111,0-1-4-3*,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,4,0,3,11.0,1160.0,105.45454545454544,0-1-3*,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,9,0,4,21.0,3420.0,162.85714285714286,0-1-2-5-3-4*,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,8,0,4,15.0,1460.0,97.33333333333331,0-1-3-4*,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,7,0,4,14.0,1000.0,71.42857142857143,0-1-4*,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,1015,0,5,46.0,8740.0,190.0,0-1-3-11-10-9-7-5*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
14,14,12,0,5,22.0,2420.0,110.0,0-1-4-3-5*,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,10,0,5,13.0,2320.0,178.4615384615384,0-1-2-5*,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,11,0,5,15.0,2020.0,134.66666666666666,0-1-3-5*,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,1146,0,6,30.0,8030.0,267.6666666666667,0-1-2-5-7-9-6*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,34,19,0,6,33.0,8030.0,243.3333333333333,0-1-2-5-14-7-9-6*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
35,35,1147,0,6,32.0,7960.0,248.75,0-1-3-5-7-9-6*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,33,20,0,6,35.0,7960.0,227.42857142857144,0-1-3-5-14-7-9-6*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
21,21,18,0,6,28.0,3880.0,138.57142857142858,0-1-4-3-5-7-14-6*,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,50,1208,0,7,33.0,8030.0,243.3333333333333,0-1-2-5-14-6-9-7*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
49,49,1209,0,7,35.0,7960.0,227.42857142857144,0-1-3-5-14-6-9-7*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
38,38,32,0,7,24.0,3100.0,129.16666666666666,0-1-4-3-5-7*,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,33,0,7,27.0,3100.0,114.8148148148148,0-1-4-3-5-14-7*,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,45,28,0,7,15.0,3030.0,202.0,0-1-2-5-7*,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,45,0,8,34.0,3330.0,97.94117647058823,0-1-4-3-5-7-14-8*,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
56,56,41,0,8,25.0,3240.0,129.6,0-1-2-5-7-14-8*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
