,R_x,f_0,f_1,f_2,f_3,f_4,f_5,F_1,F_2,F_3,F_4
0,9-7-5-2*8-14-6-9-10-12*11-3-1-2*4-1-0*9-13*10-9*,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.04,0.1,0.08333333333333333,15.461637653127015,82,20.2682348289246,14.686666666666667
1,12-13*0-1-2-5-7-9-10-12*6-14-5-3-11*8-14*3-4*4-3-5-14-6*,0.1111111111111111,0.05555555555555555,0.04,0.04,0.03333333333333333,0.1,13.572533849129593,79,21.407264479556545,9.137777777777776
2,1-2-5-7*8-14-5-3-4*14-6-9-10-12*1-0*11-10*9-13*,0.05,0.1111111111111111,0.07142857142857142,0.2,0.14285714285714285,0.125,15.672469374597034,71,20.59653656554877,15.693650793650793
3,8-14-6-9-13*12-10-9-7-5-2-1-0*11-3-1*3-4*5-14-6*3-5-14*,0.08333333333333333,0.125,0.07142857142857142,0.14285714285714285,0.0625,0.08333333333333333,12.562217923920052,87,16.82289979524022,17.208333333333332
4,12-9-7-5-3-4*6-14-5-2-1-0*13-12-10-11*8-14*5-7-9-13*5-2*,0.2,0.125,0.14285714285714285,0.125,0.05,0.07142857142857142,15.024500322372663,92,16.422652899074563,24.785714285714285
5,11-3*4-3-5-7-9-10-12*8-14-5-2-1-0*13-9-6*5-3*5-2-1-0*,0.05555555555555555,0.08333333333333333,0.14285714285714285,0.2,0.14285714285714285,0.1111111111111111,13.695035460992909,94,16.735761657813896,22.666666666666664
6,7-9*12-13-9-6-14-8*0-1-2-5-7*12-10-11*4-3-5*3-5-7*,0.125,0.03333333333333333,0.0625,0.1111111111111111,0.05555555555555555,0.05,16.63249516441006,79,21.339151336407774,10.497222222222222
7,0-1-2-5-7-9-10*12-13-9-6-14-8*11-3-5*1-4*9-6*8-14-6-9-13*,0.1111111111111111,0.0625,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.03333333333333333,13.855577047066408,107,17.15652747909917,18.930555555555554
8,1-2-5-7-9-13-12*6-14-5-3-4*11-10-9*14-8*0-1*5-7-9-12*,0.03333333333333333,0.05,0.07142857142857142,0.2,0.03333333333333333,0.1111111111111111,13.788523533204383,89,21.187919881536903,13.287301587301588
9,4-3*12-10-9-7-5-3*8-14-5-2-1-0*13-9-6*3-11*12-10-11*,0.125,0.08333333333333333,0.125,0.14285714285714285,0.08333333333333333,0.03333333333333333,13.212121212121213,92,17.294383928874414,17.952380952380953
10,5-7-9-12*0-1-2-5-14-6*11-10-12-13*4-3-5*14-8*1-2-5-7-9*,0.07142857142857142,0.2,0.16666666666666666,0.03333333333333333,0.0625,0.2,15.422952933591231,86,17.343778525738912,23.257142857142856
11,6-14-5-3*12-10-9-7-5-2-1-0*4-3-11*14-8*13-12*13-12*,0.1,0.07142857142857142,0.04,0.05,0.1111111111111111,0.05555555555555555,14.139909735654417,68,20.3568665377176,9.10095238095238
12,1-2-5-14-8*12-10-9-7-5-3-4*13-9-6*11-10*0-1*7-14-6*,0.08333333333333333,0.2,0.04,0.1,0.03333333333333333,0.14285714285714285,12.824629271437782,81,18.103078757695858,18.742857142857144
13,11-3-5-14-8*12-10-9-7-5-2-1-0*13-9-6*3-4*8-14-5*11-10*,0.1111111111111111,0.04,0.0625,0.16666666666666666,0.125,0.125,12.983236621534495,98,21.15150252903636,16.65388888888889
14,8-14-5-2-1-0*12-10-9-7-5-3-4*6-9-13*10-11*10-9-7-5-2-1-0*4-3-5-7-9-10*,0.16666666666666666,0.125,0.125,0.08333333333333333,0.08333333333333333,0.125,12.579626047711153,128,13.990681964714849,30.833333333333336
15,11-10-12-13*0-1-2-5-7-9-12*4-3-5-14-8*6-14*0-1-2-5*4-3-5-7-9-12*,0.0625,0.08333333333333333,0.1,0.1,0.1,0.05,15.377820760799484,112,17.614282085848817,17.225
16,0-1-2-5-7-9-13-12*11-3-5-14-6*3-4*12-10*14-8*6-14-5-3-11*,0.2,0.0625,0.08333333333333333,0.125,0.07142857142857142,0.04,15.414571244358479,88,16.967507980689092,20.15452380952381
17,0-1-2-5-7-9*12-10-9-6-14-8*11-3-5*12-13*4-3*12-9-7-5-3-4*,0.2,0.07142857142857142,0.0625,0.1111111111111111,0.07142857142857142,0.125,13.439716312056738,98,15.966443936463278,22.823015873015873
18,9-7-5-2*8-14-6-9-10-12*11-3-1-2*4-1-0*13-12*9-12*,0.05,0.1111111111111111,0.05,0.14285714285714285,0.14285714285714285,0.05555555555555555,15.597678916827853,81,20.33565849248168,14.482539682539683
19,12-9-7-5-3-4*0-1-2-5-14-8*13-12-10-11*6-14*0-1-3-11*13-9-7-5*,0.2,0.08333333333333333,0.125,0.1111111111111111,0.0625,0.16666666666666666,14.482914248871696,110,16.476467291812234,28.519444444444446
20,4-3-5-7-9-10-12*6-14-5-2-1-0*9-13*8-14*11-3*5-2-1*,0.14285714285714285,0.1,0.03333333333333333,0.05,0.16666666666666666,0.2,13.51063829787234,77,16.75402878700751,18.266666666666666
21,12-10-9-6-14*0-1-2-5-7-9-13*11-3-5*8-14*4-3*14-5-2-1*,0.16666666666666666,0.05,0.05555555555555555,0.08333333333333333,0.16666666666666666,0.125,13.251450676982591,84,18.781513521939054,15.655555555555557
22,12-10-9-7*0-1-2-5-7*6-14-5-3-4*12-13*10-11*8-14*,0.08333333333333333,0.1,0.1111111111111111,0.1,0.2,0.0625,14.865248226950355,66,19.18841494451797,14.28888888888889
23,1-2-5-7-9-10-12*4-3-5-14-6*0-1-3-11*9-13*14-8*12-9-7-5-2-1*,0.1,0.08333333333333333,0.07142857142857142,0.04,0.05,0.14285714285714285,13.742746615087041,100,17.487548818748653,18.749523809523808
24,5-2-1-0*4-3-5-7-9-13-12*8-14-6-9-10*11-10*3-1*2-5-7-9-10-12*,0.1,0.16666666666666666,0.05555555555555555,0.04,0.14285714285714285,0.03333333333333333,12.77691811734365,99,16.841408300536898,17.56825396825397
25,0-1-2-5-7-9-10*12-13-9-6-14-8*1-3-11*4-3*10-9-7-5-3*8-14-6-9-10-12*,0.2,0.07142857142857142,0.0625,0.0625,0.05555555555555555,0.04,12.973565441650548,118,16.20114738017795,21.453253968253968
26,12-10-9-7*7-5-2-1-0*4-3-5-14-8*6-9-13*11-3*8-14-5-2-1-0*,0.1111111111111111,0.05,0.07142857142857142,0.16666666666666666,0.07142857142857142,0.05555555555555555,15.551901998710509,101,18.38973413937151,17.30952380952381
27,5-2-1-0*12-10-9-7-5-3-4*8-14-6-9-13*11-3*6-9-10*12-13-9-7-5-2-1*,0.05555555555555555,0.125,0.14285714285714285,0.07142857142857142,0.2,0.03333333333333333,13.279819471308834,113,16.86163979163699,23.482539682539684
28,1-0*12-10-9-7-5-2-1*13-9-6-14-8*4-3-5*10-11*7-5-2*,0.2,0.1,0.1,0.14285714285714285,0.03333333333333333,0.125,13.648613797549968,81,17.173250232824703,17.402380952380952
29,13-9-7-5-2*8-14-6-9-10-12*11-3-1-2*0-1-4*2-5-7-9-13-12*11-3-5-7*,0.16666666666666666,0.05,0.16666666666666666,0.04,0.1,0.07142857142857142,14.602192134107028,116,19.183356578657907,22.705714285714286
30,14-6-9-13-12*0-1-2-5-7-9-10*1-3-11*3-4*8-14*9-10-11*,0.04,0.2,0.03333333333333333,0.16666666666666666,0.07142857142857142,0.03333333333333333,13.444874274661508,87,17.529120501104156,17.062857142857144
31,12-10-9-7*13-9-6-14-8*7-5-2-1-0*4-3-5*11-10*6-14*,0.04,0.03333333333333333,0.05,0.14285714285714285,0.16666666666666666,0.16666666666666666,14.68020631850419,78,23.062433870186933,10.892380952380952
32,13-12*12-10-9-7-5-2-1-0*11-3-5-14-8*6-9*4-1*6-9-13*,0.1,0.04,0.1111111111111111,0.16666666666666666,0.07142857142857142,0.1,13.47130883301096,88,21.01387174161566,14.786031746031746
33,13-9-7*12-10-9-6-14-8*14-5-2-1-0*11-3-5*1-4*12-10-9-7*,0.1,0.16666666666666666,0.2,0.04,0.0625,0.05555555555555555,16.36105738233398,97,16.746616218521027,22.470000000000002
34,5-2-1-0*4-3-5-7-9-10-12*13-9-6-14-8*10-11*2-5-7-9-12*5-2-1-0*,0.0625,0.0625,0.14285714285714285,0.14285714285714285,0.03333333333333333,0.08333333333333333,13.168278529980658,112,17.179100549415665,18.825
35,12-13-9-7-5-3*8-14-5-2-1-0*12-10-11*4-3*6-14*4-3-5-7-9*,0.07142857142857142,0.05,0.08333333333333333,0.1,0.16666666666666666,0.0625,15.498388136686009,87,19.57608275724367,12.045238095238096
36,8-14-6-9-10-12*0-1-2-5-7-9-13*5-3-4*11-10*6-9-13-12*12-9*,0.1,0.1111111111111111,0.14285714285714285,0.2,0.05,0.125,13.128304319793681,103,16.158652964817925,22.774603174603172
37,6-14-5-3-11*12-13-9-7-5-2-1-0*10-9*4-3*8-14*9-7-5-2-1*,0.2,0.03333333333333333,0.14285714285714285,0.2,0.16666666666666666,0.05555555555555555,13.991618310767247,84,20.128714255841917,17.16190476190476
38,14-6-9-13*12-10-9-7-5-2-1-0*11-3-1*3-4*14-8*4-3-5-7-9-13-12*,0.07142857142857142,0.125,0.03333333333333333,0.03333333333333333,0.14285714285714285,0.16666666666666666,12.98581560283688,103,15.931467580123426,23.43095238095238
