,R_x,f_0,f_1,f_2,f_3,f_4,f_5,F_1,F_2,F_3,F_4
0,9-7-5-3-4*12-13-9-6-14-8*5-2-1-0*12-10-11*12-13-9-6-14*11-3-1-2*,0.04,0.2,0.14285714285714285,0.08333333333333333,0.05555555555555555,0.07142857142857142,14.544165054803353,107,18.241354817015857,22.708253968253967
1,12-9-7*0-1-2-5-7*4-3-5-14-6*13-12-10-11*8-14*12-9-7-5-2-1*,0.14285714285714285,0.04,0.14285714285714285,0.05555555555555555,0.125,0.03333333333333333,15.455190199871051,96,19.97113600324432,15.612698412698412
2,7-5-2-1-0*11-3-5-14-8*14-6-9-10-12*9-13*3-4*4-1*,0.1,0.125,0.1111111111111111,0.07142857142857142,0.07142857142857142,0.125,15.533849129593811,77,18.962248023361468,16.686507936507937
3,5-7-9-13-12*0-1-2-5-14-6*12-10-11*11-3-4*14-8*6-9-13-12*,0.125,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.14285714285714285,0.1,19.584784010315925,92,16.82342717959739,22.296825396825398
4,9-7-5-3-4*6-14-5-2-1-0*9-10-12*12-13*14-8*3-11*,0.14285714285714285,0.05,0.04,0.2,0.2,0.0625,13.991618310767247,66,20.292197163717553,12.992857142857144
5,5-7-9-10*0-1-2-5-14-6*13-12-10-11*4-3-11*14-8*9-7-5-2-1*,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.07142857142857142,0.05555555555555555,0.04,17.699548678272084,87,16.967961404184752,17.92222222222222
6,7-14-8*0-1-2-5-7-9-13-12*9-10-11*4-3-5*14-6*3-5-7-9-13-12*,0.05555555555555555,0.08333333333333333,0.04,0.04,0.1111111111111111,0.05,13.315280464216634,92,18.856200783062487,11.295555555555556
7,1-2-5-7-9*8-14-6-9-10-12*0-1-3-11*12-13*1-4*11-3-5-14-8*,0.03333333333333333,0.08333333333333333,0.125,0.07142857142857142,0.0625,0.03333333333333333,13.183107672469374,96,21.460958489065995,13.452380952380953
8,7-9-10-12*7-5-2-1-0*11-3-5-14-6*13-9*4-1*14-8*,0.16666666666666666,0.08333333333333333,0.05555555555555555,0.125,0.1111111111111111,0.05,15.554480980012896,74,18.965054803352675,14.744444444444445
9,3-5-7-9-10*8-14-6-9-13-12*0-1-3-11*2-1-4*6-9-13-12*12-13-9*,0.1,0.2,0.05555555555555555,0.125,0.1,0.03333333333333333,15.4461637653127,102,18.507407013789994,23.000000000000004
10,11-3-5-14-8*0-1-2-5-7-9-13-12*6-9-10*3-4*8-14-6*7-9-12*,0.14285714285714285,0.0625,0.1111111111111111,0.05,0.16666666666666666,0.0625,13.177949709864604,102,18.44999221815351,19.91785714285714
11,14-6-9-13-12*10-9-7-5-2-1-0*5-3-4*14-8*11-10*14-6-9-10*,0.0625,0.1,0.04,0.2,0.08333333333333333,0.1,13.462282398452611,87,17.51416668437945,16.281666666666666
12,13-9-7*8-14-6-9-10-12*0-1-2-5-7*11-3-1*3-4*14-6*,0.2,0.125,0.04,0.1,0.07142857142857142,0.16666666666666666,16.22114764667956,77,19.836557059961315,18.18809523809524
13,1-2-5-14*4-3-5-7-9-13-12*8-14-6*11-10-12*1-0*12-10-9-7-5-2-1-0*,0.04,0.05555555555555555,0.03333333333333333,0.05555555555555555,0.2,0.2,13.109606705351386,102,16.40623662620656,22.484444444444442
14,12-13-9-7*8-14-6-9-10*7-5-2-1-0*11-3-5*3-4*3-1-2*,0.05555555555555555,0.07142857142857142,0.1,0.05555555555555555,0.1,0.0625,15.435203094777563,78,20.919996768979875,11.123412698412698
15,4-3-5-7-9-10-12*0-1-2-5-14-8*6-9-13*10-11*13-9-7-5-2*13-9-6-14*,0.05,0.0625,0.1,0.05555555555555555,0.04,0.0625,12.181173436492585,115,19.1916340269971,13.716111111111111
16,14-5-2-1-0*4-3-5-7-9-10-12*13-9-6*8-14*10-11*7-5-2*,0.07142857142857142,0.0625,0.14285714285714285,0.0625,0.08333333333333333,0.08333333333333333,13.346872985170858,82,18.987144662095556,13.571428571428571
17,12-9-7-5-3-4*0-1-2-5-14-8*13-12-10-11*6-14*3-1-2*12-9-7-5-3*,0.05,0.07142857142857142,0.14285714285714285,0.04,0.16666666666666666,0.07142857142857142,15.468729851708575,100,18.69888428248717,16.34095238095238
18,1-2-5-7-9-10*12-13-9-6-14-8*11-3-1-0*4-1*3-5*11-3-5-14-8*,0.2,0.08333333333333333,0.2,0.03333333333333333,0.1,0.0625,12.992263056092844,103,16.066508978391905,25.224999999999998
19,2-5*12-10-9-7-5-3-4*13-9-6-14-8*11-3-1-0*1-2-5-14*10-9-7-5-2-1*,0.05555555555555555,0.16666666666666666,0.125,0.04,0.0625,0.2,12.368149580915539,105,16.5152139838216,26.596666666666668
20,14-7*12-13-9-7-5-2-1-0*6-14-8*4-3-5*12-10-11*8-14-6*,0.0625,0.08333333333333333,0.125,0.1,0.04,0.03333333333333333,15.611863313990973,78,19.603505378533374,11.716666666666665
21,13-9-7-5-3-4*8-14-5-2-1-0*6-9-10-12*11-3*12-13-9-6-14-8*6-14-5-2-1-0*,0.04,0.2,0.05555555555555555,0.08333333333333333,0.08333333333333333,0.05555555555555555,12.411992263056092,122,18.14961615280386,21.735555555555557
22,14-6-9*12-13-9-7-5-2-1-0*5-3-4*11-10-12*14-8*8-14-6-9-13*,0.14285714285714285,0.2,0.04,0.0625,0.05,0.05,15.043197936814957,98,16.645852377199894,21.586428571428574
23,1-3-11*12-10-9-7-5-2-1-0*8-14-6-9-13*4-3*0-1*12-13-9-7-5-2-1*,0.04,0.1111111111111111,0.16666666666666666,0.125,0.0625,0.1111111111111111,14.001934235976789,108,16.16429400386847,24.26222222222222
24,6-14-8*14-5-2-1-0*12-10-9-7-5-3-4*11-3*13-9*9-6-14*,0.125,0.16666666666666666,0.125,0.04,0.08333333333333333,0.2,12.85170857511283,81,16.03017904081734,20.566666666666666
25,0-1-2-5-7-9-13*8-14-6-9-10-12*1-3-11*4-1*14-6-9-10-12*9-7-5-3*,0.04,0.05555555555555555,0.125,0.0625,0.16666666666666666,0.05555555555555555,13.336557059961315,110,18.979741090792896,17.36888888888889
26,12-13-9-7-5*6-14-5-2-1-0*12-10-11*5-3-4*8-14*12-9*,0.0625,0.08333333333333333,0.0625,0.16666666666666666,0.0625,0.16666666666666666,15.388781431334623,79,19.85963977994926,14.375
