,R_x,f_0,f_1,f_2,f_3,f_4,f_5,F_1,F_2,F_3,F_4
0,9-10-12*0-1-2-5-7-9-13*11-3-5-14-6*4-3*14-8*14-6-9-12*,0.1,0.14285714285714285,0.07142857142857142,0.1,0.05,0.05,12.999355254674404,91,17.408386254422965,17.07142857142857
1,13-9-7-5-3*8-14-5-2-1-0*12-10-9-6*4-3-11*4-1-2*0-1-2-5-14-8*,0.04,0.16666666666666666,0.125,0.07142857142857142,0.125,0.05,13.944551901998711,109,18.305673067111005,20.409999999999997
2,3-5*0-1-2-5-7-9-10-12*13-9-6-14-8*4-3-11*2-5*8-14-6-9-10*,0.05,0.07142857142857142,0.05,0.0625,0.2,0.1111111111111111,14.054803352675693,101,18.773464250263142,15.453174603174602
3,3-11*4-3-5-7-9-13-12*6-14-5-2-1-0*10-11*8-14*10-9-7-5-2-1*,0.1,0.05,0.1,0.16666666666666666,0.04,0.1,12.775628626692457,94,17.75433859875349,16.373333333333335
4,3-5*0-1-2-5-7-9-10-12*13-9-6-14-8*4-3-11*1-2-5-14*1-2-5-14-6*,0.05,0.14285714285714285,0.14285714285714285,0.0625,0.1111111111111111,0.07142857142857142,12.880722114764668,94,16.289364429937674,21.927777777777777
5,13-9-7-5-2*8-14-6-9-10-12*2-1-3-11*0-1-4*6-14-5-3*5-7-9-12*,0.14285714285714285,0.125,0.14285714285714285,0.14285714285714285,0.0625,0.1111111111111111,13.817537072856222,106,16.54490606842921,26.605158730158728
6,1-0*1-2-5-7-9-13-12*4-3-5-14-8*9-10-11*6-14*11-3-5-14-8*,0.03333333333333333,0.05,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,13.925209542230819,94,21.709016906302303,15.533333333333331
7,12-10-9-7-5-2-1-0*11-3-5-14-6*13-9*4-1*14-8*4-3*,0.1,0.04,0.08333333333333333,0.2,0.0625,0.05555555555555555,13.45003223726628,78,18.60807497103015,13.29777777777778
8,13-9-6-14*12-10-9-7-5-2-1-0*1-3-11*4-3*8-14*8-14-6-9-12*,0.07142857142857142,0.08333333333333333,0.1,0.125,0.08333333333333333,0.04,14.14829142488717,102,18.543357618361515,15.021904761904763
9,9-6-14*0-1-2-5-7-9-13-12*5-3-4*12-10-11*8-14*12-10-9-7-5-3*,0.08333333333333333,0.16666666666666666,0.04,0.125,0.2,0.1,12.857511283043198,97,15.387185047025469,24.89
10,6-14-5-3-11*0-1-2-5-7-9-13-12*4-1*11-10*14-8*11-10-12*,0.0625,0.0625,0.125,0.16666666666666666,0.16666666666666666,0.04,14.646679561573178,91,20.168547588140136,15.199999999999998
11,0-1-2-5-7-9-12*8-14-5-3-4*11-10-12-13*14-6*4-1*9-10-11*,0.07142857142857142,0.04,0.16666666666666666,0.1,0.14285714285714285,0.07142857142857142,13.44294003868472,92,19.58626636661211,16.15809523809524
12,5-2*12-10-9-7-5-3-4*13-9-6-14-8*0-1-3-11*14-6*10-9-6*,0.04,0.1111111111111111,0.14285714285714285,0.125,0.07142857142857142,0.1111111111111111,14.483558994197292,91,16.871042673093577,21.807460317460315
13,13-12*0-1-2-5-7-9-10-12*8-14-5-3-4*10-11*9-6*4-3-5-14-8*,0.03333333333333333,0.05555555555555555,0.14285714285714285,0.125,0.1,0.14285714285714285,13.096067053513861,90,19.347100091892273,18.557142857142857
14,10-9-6-14*12-13-9-7-5-2-1-0*11-3-5*8-14*1-4*2-1-3-11*,0.08333333333333333,0.1111111111111111,0.1,0.04,0.2,0.16666666666666666,13.736943907156673,90,17.545324535953036,20.506666666666668
15,0-1-3-11*12-10-9-7-5-3-4*13-9-6-14-8*5-2*12-13-9*0-1-2-5-7*,0.125,0.03333333333333333,0.05,0.03333333333333333,0.1111111111111111,0.03333333333333333,13.121212121212121,102,21.81093075554017,13.038888888888888
