,R_x,f_0,f_1,f_2,f_3,f_4,f_5,F_1,F_2,F_3,F_4
0,2-5-7-9-12*11-3-5-14-8*2-1-0*10-9-6*13-9*3-4*,0.07142857142857142,0.04,0.08333333333333333,0.04,0.14285714285714285,0.16666666666666666,14.968407479045776,82,21.318586850501745,11.531428571428572
1,9-6-14-8*12-10-9-7-5-2-1-0*4-3-5*13-12*11-10*3-4*,0.125,0.05,0.0625,0.0625,0.04,0.1,13.1785944551902,74,21.264786749893133,10.400000000000002
2,3-5-14*0-1-2-5-7-9-10-12*8-14-6*4-3-11*13-9*13-9-6*,0.08333333333333333,0.125,0.04,0.0625,0.1,0.125,13.361057382333978,87,17.41884089118132,17.316666666666666
3,4-3-11*12-10-9-7-5-3*0-1-2-5-14-8*6-9-13*12-10-9-6*12-9-7*,0.05555555555555555,0.1,0.125,0.1,0.16666666666666666,0.14285714285714285,13.923920051579627,112,16.368075076182937,26.165079365079364
4,12-10-9-7-5-3-4*8-14-5-2-1-0*6-9-13*10-11*7-9-10*12-13-9*,0.04,0.0625,0.03333333333333333,0.0625,0.07142857142857142,0.16666666666666666,13.0715667311412,100,19.594537187983303,12.680476190476192
5,10-9-6-14*0-1-2-5-7-9-13-12*1-3-11*14-8*4-3*3-1-2*,0.1,0.03333333333333333,0.08333333333333333,0.16666666666666666,0.03333333333333333,0.2,14.513217279174725,77,22.745608552898915,12.1
6,2-5-7-9-10*12-13-9-6-14-8*11-3-1-2*4-1-0*6-14-5-2*11-3-4*,0.1111111111111111,0.05,0.04,0.0625,0.1111111111111111,0.14285714285714285,14.001289490651192,96,19.58271934108089,15.427777777777777
7,1-3*0-1-2-5-7-9-13-12*8-14-6-9-10*4-3-11*10-9-6-14-8*2-1-0*,0.05,0.0625,0.14285714285714285,0.08333333333333333,0.14285714285714285,0.07142857142857142,14.658284977433913,104,18.750428177023924,20.75833333333333
8,12-10-9-7-5-2*6-14-5-3-4*11-3-1-0*13-12*8-14*9-12*,0.05555555555555555,0.0625,0.125,0.16666666666666666,0.0625,0.0625,15.268214055448098,77,21.324894754807143,12.347222222222221
9,12-10-9-7-5-3-4*0-1-2-5-14-6*8-14*13-12*11-10*14-5-2-1*,0.125,0.08333333333333333,0.04,0.05,0.125,0.0625,13.163120567375886,74,17.277037855761264,14.34
