"","Iteration","f1_TRT","f2_ATT","Temperature","C_epoch_number","L_iteration_per_epoch","A_num_accepted_moves_per_epoch","eps_num_epochs_without_accepting_solution","Route"
"1",0,138,12.6872985170858,500,1,0,0,0,NA
"2",0,110,11.7498388136686,500,1,0,0,0,NA
"3",1,107,11.7498388136686,500,1,1,1,0,NA
"4",2,107,11.7498388136686,500,1,2,2,0,NA
"5",0,107,11.7498388136686,475,2,0,0,0,NA
"6",1,109,11.6918117343649,475,2,1,1,0,NA
"7",2,109,11.6918117343649,475,2,2,2,0,NA
"8",0,108,11.7014829142489,451.25,3,0,0,0,NA
"9",1,108,11.7014829142489,451.25,3,1,1,0,NA
"10",2,101,12.3223726627982,451.25,3,2,2,0,NA
"11",1,101,12.3223726627982,428.6875,4,1,0,0,NA
"12",2,101,12.3223726627982,428.6875,4,2,1,0,NA
"13",0,92,12.3320438426821,407.253125,5,0,0,0,NA
"14",1,98,12.3320438426821,407.253125,5,1,1,0,NA
"15",2,100,12.2836879432624,407.253125,5,2,2,0,NA
"16",1,102,11.8214055448098,386.89046875,6,1,0,0,NA
"17",2,98,11.8310767246937,386.89046875,6,2,1,0,NA
"18",0,98,11.8310767246937,367.5459453125,7,0,0,0,NA
"19",1,103,11.5357833655706,367.5459453125,7,1,1,0,NA
"20",2,105,11.5261121856867,367.5459453125,7,2,2,0,NA
"21",0,105,11.5261121856867,349.168648046875,8,0,0,0,NA
"22",1,97,11.5551257253385,349.168648046875,8,1,1,0,NA
"23",2,89,12.1276595744681,349.168648046875,8,2,2,0,NA
"24",0,97,12.1276595744681,331.710215644531,9,0,0,0,NA
"25",2,126,11.3326885880077,315.124704862305,10,2,0,0,NA
"26",1,133,11.1676337846551,284.40004613823,12,1,0,1,NA
"27",2,133,11.1676337846551,284.40004613823,12,2,1,0,NA
"28",0,125,11.3062540296583,270.180043831318,13,0,0,0,NA
"29",1,135,10.8736299161831,270.180043831318,13,1,1,0,NA
"30",2,145,10.8736299161831,270.180043831318,13,2,2,0,NA
"31",0,148,10.8639587362992,256.671041639752,14,0,0,0,NA
