,f1_ATT,f2_TRT,Routes
0,15.580915538362348,75,6-14-7*10-9-6*4-3-5-7*11-10-9*0-1-2-5-14-8*9-13-12*
1,15.474532559638943,85,6-14-7*10-9-6*4-3-5-7*11-10-9-12*0-1-2-5-14-8*9-13-12*
2,15.285622179239201,90,6-14-7*10-9-6*4-3-5-7*11-10-9-12*0-1-2-5-14-8*9-13-12-10*
3,13.741457124435847,97,9-6-14-7*10-9-6*4-3-5-7*11-10-9-12*0-1-2-5-14-8*9-13-12-10*
4,13.054158607350097,105,9-6-14-7*10-9-6*4-3-5-7*11-10-9-12*0-1-2-5-14-8*7-9-13-12-10*
5,13.037395228884591,107,9-6-14-7*10-9-6*4-3-5-7*11-10-9-12*0-1-2-5-14-8*14-7-9-13-12-10*
6,13.032882011605416,115,13-9-6-14-7*10-9-6*4-3-5-7*11-10-9-12*0-1-2-5-14-8*14-7-9-13-12-10*
10,12.018697614442296,121,13-9-6-14-7*10-9-6*4-3-5-7-9*11-10-9-12*0-1-2-5-14-8*7-9-13-12-10*
11,11.990973565441651,123,12-13-9-6-14-7*10-9-6*4-3-5-7-9*11-10-9-12*0-1-2-5-14-8*7-9-13-12-10*
13,12.128949065119278,120,10-12-13-9-6-14*10-9-6*4-3-5-7-9*11-10-9-12-13*0-1-2-5-14-8*9-13-12-10*
15,11.895551257253384,125,10-12-13-9-6-14*10-9-6*4-3-5-7-9*3-11-10-9-12-13*0-1-2-5-14-8*9-13-12*
16,11.74081237911025,128,10-12-13-9-6-14-5*10-9-6*4-3-5-7-9*3-11-10-9-12-13*0-1-2-5-14-8*9-13-12*
17,11.731141199226306,136,10-12-13-9-6-14-5*10-9-6*4-3-5-7-9*3-11-10-9-12-13*0-1-2-5-14-8*7-9-13-12*
19,11.722759509993553,141,10-12-13-9-6-14*10-9-6-14-5*1-4-3-5-7-9-6*11-10-9-12-13*0-1-2-5-14-8*7-9-13-12*
21,11.677627337201805,156,11-10-12-13-9-6-14*10-9-6-14-5*1-4-3-5-7-9-6*11-10-9-12-13*0-1-2-5-14-8*7-9-13-12-10*
23,11.620245003223726,168,11-10-12-13-9-6-14-7*10-9-6-14-5*1-4-3-5-7-9-6*11-10-9-12-13*0-1-2-5-14-8*7-9-13-12-10-11*
25,11.587362991618312,172,11-10-12-13-9-6-14-7*10-9-6-14-5-7*1-4-3-5-7-9-6*11-10-9-12-13*0-1-2-5-14-8*5-7-9-13-12-10-11*
27,12.866537717601547,118,10-12-13-9-6-14-7-5-2*6-14-7-5*4-3-5-7*10-9-12*0-1-2-5*8-14-7-9-13-12-10-11*
