,f1_ATT,f2_TRT,Routes
0,14.645390070921986,78,11-10-12-13*2-5-14*7-5-3-4*2-1-0*10-9-6-14-8*7-9-10*
1,14.200515796260477,80,11-10-12-13*1-2-5-14*7-5-3-4*2-1-0*10-9-6-14-8*7-9-10*
2,13.89103803997421,82,11-10-12-13*1-2-5-14-6*7-5-3-4*2-1-0*10-9-6-14-8*7-9-10*
3,13.318504190844616,90,11-10-12-13-9*1-2-5-14-6*7-5-3-4*2-1-0*10-9-6-14-8*7-9-10*
4,13.263056092843327,98,11-10-12-13-9-7*1-2-5-14-6*7-5-3-4*2-1-0*10-9-6-14-8*7-9-10*
5,13.228239845261122,100,11-10-12-13-9-7*1-2-5-14-6*7-5-3-4*2-1-0*10-9-6-14-8*14-7-9-10*
7,12.235332043842682,112,3-11-10-12-13-9-7-5*1-2-5-14-6*7-5-3-4*2-1-0*10-9-6-14-8*14-7-9-10*
8,12.284332688588007,107,3-11-10-12-13-9-7-5*1-2-5-14-6*7-5-3-4*2-1-0*9-6-14-8*14-7-9-10*
9,12.337201805286911,105,3-11-10-12-13-9-7-5*1-2-5-14-6*7-5-3-4*2-1-0*9-6-14-8*7-9-10*
10,11.872985170857511,113,3-11-10-12-13-9-7-5*0-1-2-5-14-6*7-5-3-4*2-1-0*9-6-14-8*7-9-10*
11,11.679561573178594,119,3-11-10-12-13-9-7-5*0-1-2-5-14-6*7-5-3-4-1*2-1-0*9-6-14-8*7-9-10*
12,11.569954867827208,122,3-11-10-12-13-9-7-5-2*0-1-2-5-14-6*7-5-3-4-1*2-1-0*9-6-14-8*7-9-10*
13,11.405544809800128,124,3-11-10-12-13-9-7-5-2-1*0-1-2-5-14-6*7-5-3-4-1*2-1-0*9-6-14-8*7-9-10*
16,11.347517730496454,126,3-11-10-12-13-9-7-5-2-1*0-1-2-5-14-6*7-5-3-4-1*2-1-0*9-6-14-8*5-7-9-10*
19,11.30560928433269,131,3-11-10-12-13-9-7-5-2-1*0-1-2-5-14-6*14-7-5-3-4-1*2-1-0*10-9-6-14-8*7-9-10*
