,f1_ATT,f2_TRT,Routes
0,11.4642166344294,107,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10*9-10-11*12-10-9-7-5-3-4*
6,11.444874274661508,119,6-14-7*8-14-6-9-13*12-13-9*0-1-2-5-7-9-10*14-6-9-10-11*12-10-9-7-5-3-4*
7,11.256608639587363,125,6-14-7*8-14-6-9-13*12-13-9*0-1-2-5-7-9-10*14-6-9-10-11*12-10-9-7-5-3-4-1*
8,11.072211476466796,135,6-14-7*8-14-6-9-13*12-13-9*0-1-2-5-7-9-10*14-6-9-10-11-3*12-10-9-7-5-3-4-1*
9,11.06254029658285,140,6-14-7*8-14-6-9-13*10-12-13-9*0-1-2-5-7-9-10*14-6-9-10-11-3*12-10-9-7-5-3-4-1*
15,10.952933591231464,146,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12*5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
16,10.885235332043843,149,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12*2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
17,10.817537072856222,151,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
20,10.81431334622824,158,9-6-14*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12-13*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
21,10.807865892972275,160,9-6-14*8-14-6-9-13-12*10-12-13*0-1-2-5-7-9-10-12-13*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
23,10.76273372018053,188,13-12-9-6*8-14-6-9-13-12*11-10-12-13-9*0-1-2-5-7-9-10-12-13*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
26,10.80528691166989,184,12-9-6*8-14-6-9-13-12*10-12-13-9-7*0-1-2-5-7-9-10-12-13*1-2-5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
