"","Iteration","f1_TRT","f2_ATT","Temperature","C_epoch_number","L_iteration_per_epoch","A_num_accepted_moves_per_epoch","eps_num_epochs_without_accepting_solution"
"1",0,86,14.5996131528046,500,1,0,0,0
"2",0,200,18.9806576402321,500,1,0,0,0
"3",1,198,18.9806576402321,500,1,1,0,0
"4",2,193,18.9806576402321,500,1,2,0,0
"5",0,193,18.9806576402321,475,2,0,0,1
"6",1,200,12.6834300451322,475,2,1,0,1
"7",2,205,12.6479690522244,475,2,2,1,0
"8",0,215,12.6479690522244,451.25,3,0,0,0
"9",1,223,12.6479690522244,451.25,3,1,1,0
"10",2,227,12.4094132817537,451.25,3,2,2,0
"11",0,227,12.4094132817537,428.6875,4,0,0,0
"12",1,217,12.4094132817537,428.6875,4,1,1,0
"13",2,222,12.4094132817537,428.6875,4,2,2,0
"14",0,222,12.4094132817537,407.253125,5,0,0,0
"15",1,232,12.3997421018698,407.253125,5,1,1,0
"16",2,232,12.3997421018698,407.253125,5,2,2,0
"17",0,232,12.3997421018698,386.89046875,6,0,0,0
"18",1,232,12.3997421018698,386.89046875,6,1,1,0
"19",2,222,12.4094132817537,386.89046875,6,2,2,0
"20",0,222,12.4094132817537,367.5459453125,7,0,0,0
"21",1,222,12.4094132817537,367.5459453125,7,1,1,0
"22",2,222,12.4094132817537,367.5459453125,7,2,2,0
"23",0,214,12.4609929078014,349.168648046875,8,0,0,0
"24",1,214,12.4609929078014,349.168648046875,8,1,1,0
"25",2,214,12.4609929078014,349.168648046875,8,2,2,0
"26",0,208,12.4609929078014,331.710215644531,9,0,0,0
"27",1,214,12.4609929078014,331.710215644531,9,1,1,0
"28",2,208,12.4609929078014,331.710215644531,9,2,2,0
"29",0,210,12.4609929078014,315.124704862305,10,0,0,0
"30",1,210,12.4609929078014,315.124704862305,10,1,1,0
"31",2,210,12.4609929078014,315.124704862305,10,2,2,0
"32",0,207,12.6324951644101,299.368469619189,11,0,0,0
"33",1,217,12.6324951644101,299.368469619189,11,1,1,0
"34",2,217,12.6324951644101,299.368469619189,11,2,1,0
"35",0,212,12.6324951644101,284.40004613823,12,0,0,0
"36",1,204,12.6324951644101,284.40004613823,12,1,0,0
"37",2,198,12.758865248227,284.40004613823,12,2,1,0
"38",0,194,12.9974210186976,270.180043831318,13,0,0,0
"39",1,192,12.9974210186976,270.180043831318,13,1,1,0
"40",2,184,13.1186331399097,270.180043831318,13,2,2,0
"41",0,187,12.8542875564152,256.671041639752,14,0,0,0
"42",1,162,11.0483558994197,256.671041639752,14,1,1,0
"43",2,165,11.0161186331399,256.671041639752,14,2,2,0
"44",0,163,11.0161186331399,243.837489557765,15,0,0,0
"45",1,160,11.0483558994197,243.837489557765,15,1,1,0
"46",2,208,13.2211476466796,243.837489557765,15,2,2,0
"47",0,216,13.1856866537718,231.645615079877,16,0,0,0
"48",1,206,13.2050290135397,231.645615079877,16,1,0,0
"49",2,206,13.2050290135397,231.645615079877,16,2,0,0
"50",0,214,13.1631205673759,220.063334325883,17,0,0,1
"51",1,214,13.1631205673759,220.063334325883,17,1,0,1
"52",2,206,13.1824629271438,220.063334325883,17,2,0,1
"53",0,198,13.1824629271438,209.060167609589,18,0,0,2
"54",1,204,13.1792392005158,209.060167609589,18,1,0,2
"55",2,200,12.1605415860735,209.060167609589,18,2,0,2
"56",0,210,12.1605415860735,198.607159229109,19,0,0,3
"57",1,210,12.1605415860735,198.607159229109,19,1,0,3
"58",2,212,12.0457769181173,198.607159229109,19,2,0,3
