"","Iteration","f1_TRT","f2_ATT","Temperature","C_epoch_number","L_iteration_per_epoch","A_num_accepted_moves_per_epoch","eps_num_epochs_without_accepting_solution"
"1",0,86,14.5996131528046,500,1,0,0,0
"2",1,200,12.6834300451322,475,2,1,0,1
"3",2,205,12.6479690522244,475,2,2,1,0
"4",0,215,12.6479690522244,451.25,3,0,0,0
"5",1,223,12.6479690522244,451.25,3,1,1,0
"6",2,227,12.4094132817537,451.25,3,2,2,0
"7",0,227,12.4094132817537,428.6875,4,0,0,0
"8",1,217,12.4094132817537,428.6875,4,1,1,0
"9",2,222,12.4094132817537,428.6875,4,2,2,0
"10",0,222,12.4094132817537,407.253125,5,0,0,0
"11",1,232,12.3997421018698,407.253125,5,1,1,0
"12",2,232,12.3997421018698,407.253125,5,2,2,0
"13",0,232,12.3997421018698,386.89046875,6,0,0,0
"14",1,232,12.3997421018698,386.89046875,6,1,1,0
"15",2,222,12.4094132817537,386.89046875,6,2,2,0
"16",0,222,12.4094132817537,367.5459453125,7,0,0,0
"17",1,222,12.4094132817537,367.5459453125,7,1,1,0
"18",2,222,12.4094132817537,367.5459453125,7,2,2,0
"19",0,214,12.4609929078014,349.168648046875,8,0,0,0
"20",1,214,12.4609929078014,349.168648046875,8,1,1,0
"21",2,214,12.4609929078014,349.168648046875,8,2,2,0
"22",0,208,12.4609929078014,331.710215644531,9,0,0,0
"23",1,214,12.4609929078014,331.710215644531,9,1,1,0
"24",2,208,12.4609929078014,331.710215644531,9,2,2,0
"25",0,210,12.4609929078014,315.124704862305,10,0,0,0
"26",1,210,12.4609929078014,315.124704862305,10,1,1,0
"27",2,210,12.4609929078014,315.124704862305,10,2,2,0
"28",0,207,12.6324951644101,299.368469619189,11,0,0,0
"29",1,204,12.6324951644101,284.40004613823,12,1,0,0
"30",2,198,12.758865248227,284.40004613823,12,2,1,0
"31",0,194,12.9974210186976,270.180043831318,13,0,0,0
"32",1,192,12.9974210186976,270.180043831318,13,1,1,0
"33",2,184,13.1186331399097,270.180043831318,13,2,2,0
"34",0,187,12.8542875564152,256.671041639752,14,0,0,0
"35",1,162,11.0483558994197,256.671041639752,14,1,1,0
"36",2,165,11.0161186331399,256.671041639752,14,2,2,0
"37",0,163,11.0161186331399,243.837489557765,15,0,0,0
"38",1,160,11.0483558994197,243.837489557765,15,1,1,0
