,Source,Target,Travel_time,Demand,Demand_per_minute,Routes
0,0,1,4.0,1160.0,290.0,0-11-1*
1,0,1,3.0,1160.0,386.6666666666667,0-11-1*
237,0,1,5.0,1160.0,232.0,0-11-1*
238,0,1,2.0,1160.0,580.0,0-11-1*
2,0,2,7.0,1930.0,275.7142857142857,0-11-2*
3,0,2,3.0,1930.0,643.3333333333334,0-11-2*
429,0,2,4.0,1930.0,482.5,0-11-2*
430,0,2,2.0,1930.0,965.0,0-11-2*
4,0,3,14.0,12660.0,904.2857142857143,0-11-2-114-78-3*
5,0,3,9.0,12660.0,1406.6666666666667,0-11-2-114-78-3*
639,0,3,8.0,12660.0,1582.5,0-11-2-114-78-3*
640,0,3,6.0,12660.0,2110.0,0-11-2-114-78-3*
6,0,4,22.0,38850.0,1765.909090909091,0-11-1-27-29-5-24-86-10-4*
7,0,4,18.0,38850.0,2158.3333333333335,0-11-1-27-29-5-24-86-10-4*
857,0,4,31.0,46110.0,1487.4193548387098,0-11-46-118-27-29-5-58-104-43-4*
858,0,4,15.0,46110.0,3074.0,0-11-46-118-27-29-5-58-104-43-4*
8,0,5,12.0,12800.0,1066.6666666666667,0-11-1-27-29-5*
9,0,5,9.0,12800.0,1422.2222222222222,0-11-1-27-29-5*
1096,0,5,18.0,11920.0,662.2222222222222,0-11-1-81-9-5*
1097,0,5,13.0,11920.0,916.9230769230769,0-11-1-81-9-5*
10,0,6,7.0,6350.0,907.1428571428571,0-48-73-6*
11,0,6,6.0,6350.0,1058.3333333333333,0-48-73-6*
1331,0,6,9.0,6350.0,705.5555555555555,0-48-73-6*
12,0,7,1.0,1330.0,1330.0,0-7*
13,0,8,13.0,5820.0,447.6923076923077,0-101-88-30-8*
14,0,8,11.0,5820.0,529.0909090909091,0-101-88-30-8*
1792,0,8,18.0,5820.0,323.3333333333333,0-101-88-30-8*
15,0,9,10.0,7030.0,703.0,0-11-1-81-9*
16,0,9,9.0,7030.0,781.1111111111111,0-11-1-81-9*
2005,0,9,12.0,7030.0,585.8333333333334,0-11-1-81-9*
17,0,10,17.0,31130.0,1831.1764705882354,0-11-1-27-29-5-24-86-10*
18,0,10,15.0,31130.0,2075.3333333333335,0-11-1-27-29-5-24-86-10*
2237,0,10,29.0,31440.0,1084.1379310344828,0-11-1-81-9-5-24-86-10*
2238,0,10,21.0,31440.0,1497.142857142857,0-11-1-81-9-5-24-86-10*
19,0,11,2.0,50.0,25.0,0-11*
2482,0,11,1.0,50.0,50.0,0-11*
20,0,12,15.0,11710.0,780.6666666666666,0-11-2-114-78-12*
21,0,12,10.0,11710.0,1171.0,0-11-2-114-78-12*
2682,0,12,8.0,11710.0,1463.75,0-11-2-114-78-12*
2683,0,12,6.0,11710.0,1951.6666666666667,0-11-2-114-78-12*
22,0,13,11.0,9110.0,828.1818181818181,0-7-40-50-13*
23,0,13,9.0,9110.0,1012.2222222222222,0-7-40-50-13*
2900,0,13,7.0,9110.0,1301.4285714285713,0-7-40-50-13*
24,0,14,14.0,12930.0,923.5714285714286,0-11-2-23-53-14*
25,0,14,11.0,12930.0,1175.4545454545455,0-11-2-23-53-14*
3122,0,14,7.0,12930.0,1847.142857142857,0-11-2-23-53-14*
26,0,15,16.0,17140.0,1071.25,0-11-2-114-78-3-15*
27,0,15,11.0,17140.0,1558.1818181818182,0-11-2-114-78-3-15*
3358,0,15,9.0,17140.0,1904.4444444444443,0-11-2-114-78-3-15*
3359,0,15,7.0,17140.0,2448.5714285714284,0-11-2-114-78-3-15*
28,0,16,11.0,8090.0,735.4545454545455,0-48-99-55-16*
29,0,16,9.0,8090.0,898.8888888888889,0-48-99-55-16*
3572,0,16,8.0,8010.0,1001.25,0-11-2-114-16*
3573,0,16,4.0,8010.0,2002.5,0-11-2-114-16*
30,0,17,16.0,15980.0,998.75,0-11-1-27-52-89-17*
31,0,17,12.0,19260.0,1605.0,0-11-1-46-39-31-89-17*
3785,0,17,26.0,12890.0,495.7692307692308,0-11-46-39-31-89-17*
3786,0,17,15.0,12890.0,859.3333333333334,0-11-46-39-31-89-17*
32,0,18,18.0,28300.0,1572.2222222222222,0-11-1-27-29-5-24-86-18*
33,0,18,16.0,28300.0,1768.75,0-11-1-27-29-5-24-86-18*
4003,0,18,20.0,26620.0,1331.0,0-11-1-81-9-5-58-104-18*
4004,0,18,15.0,26620.0,1774.6666666666667,0-11-1-81-9-5-58-104-18*
34,0,19,12.0,6210.0,517.5,0-26-126-32-19*
35,0,19,7.0,6210.0,887.1428571428571,0-26-126-32-19*
4242,0,19,9.0,8660.0,962.2222222222222,0-26-40-50-19*
4243,0,19,6.0,8660.0,1443.3333333333333,0-26-40-50-19*
36,0,20,13.0,7180.0,552.3076923076923,0-26-126-32-20*
37,0,20,8.0,7180.0,897.5,0-26-126-32-20*
4465,0,20,15.0,7180.0,478.6666666666667,0-26-126-32-20*
4466,0,20,6.0,7180.0,1196.6666666666667,0-26-126-32-20*
38,0,21,16.0,6770.0,423.125,0-101-88-125-21*
39,0,21,13.0,6770.0,520.7692307692307,0-101-88-125-21*
4699,0,21,11.0,6770.0,615.4545454545455,0-101-88-125-21*
40,0,22,14.0,5070.0,362.14285714285717,0-101-88-30-22*
41,0,22,12.0,5070.0,422.5,0-101-88-30-22*
4939,0,22,17.0,5070.0,298.2352941176471,0-101-88-30-22*
42,0,23,9.0,5020.0,557.7777777777778,0-11-2-23*
43,0,23,4.0,5020.0,1255.0,0-11-2-23*
5151,0,23,5.0,5020.0,1004.0,0-11-2-23*
5152,0,23,3.0,5020.0,1673.3333333333333,0-11-2-23*
44,0,24,14.0,18240.0,1302.857142857143,0-11-1-27-29-5-24*
45,0,24,12.0,18240.0,1520.0,0-11-1-27-29-5-24*
5372,0,24,17.0,18320.0,1077.6470588235295,0-11-1-81-9-5-24*
5373,0,24,12.0,18320.0,1526.6666666666667,0-11-1-81-9-5-24*
46,0,25,9.0,3410.0,378.8888888888889,0-101-88-25*
47,0,25,6.0,3410.0,568.3333333333334,0-101-88-25*
5599,0,25,15.0,3410.0,227.33333333333334,0-101-88-25*
5600,0,25,10.0,3410.0,341.0,0-101-88-25*
48,0,26,3.0,280.0,93.33333333333333,0-26*
5830,0,26,1.0,280.0,280.0,0-26*
49,0,27,7.0,4180.0,597.1428571428571,0-11-1-27*
50,0,27,5.0,4180.0,836.0,0-11-1-27*
6058,0,27,4.0,4180.0,1045.0,0-11-1-27*
51,0,28,18.0,22110.0,1228.3333333333333,0-11-1-27-52-89-17-28*
52,0,28,14.0,26920.0,1922.857142857143,0-11-1-46-39-31-89-17-28*
6265,0,28,26.0,19070.0,733.4615384615385,0-11-46-39-31-89-17-28*
6266,0,28,15.0,19070.0,1271.3333333333333,0-11-46-39-31-89-17-28*
53,0,29,9.0,8030.0,892.2222222222222,0-11-1-27-29*
54,0,29,8.0,8030.0,1003.75,0-11-1-27-29*
6480,0,29,10.0,8030.0,803.0,0-11-1-27-29*
6481,0,29,6.0,8030.0,1338.3333333333333,0-11-1-27-29*
55,0,30,10.0,3840.0,384.0,0-101-88-30*
56,0,30,7.0,3840.0,548.5714285714286,0-101-88-30*
6707,0,30,17.0,3840.0,225.88235294117646,0-101-88-30*
6708,0,30,12.0,3840.0,320.0,0-101-88-30*
57,0,31,10.0,5970.0,597.0,0-11-46-39-31*
58,0,31,9.0,5970.0,663.3333333333334,0-11-46-39-31*
6921,0,31,20.0,5970.0,298.5,0-11-46-39-31*
59,0,32,6.0,3710.0,618.3333333333334,0-26-126-32*
7134,0,32,4.0,3710.0,927.5,0-26-126-32*
7135,0,32,3.0,3710.0,1236.6666666666667,0-26-126-32*
60,0,33,11.0,6970.0,633.6363636363636,0-11-46-39-33*
61,0,33,10.0,6970.0,697.0,0-11-46-39-33*
7348,0,33,16.0,6250.0,390.625,0-101-88-25-33*
7349,0,33,11.0,6250.0,568.1818181818181,0-101-88-25-33*
62,0,34,19.0,22130.0,1164.7368421052631,0-11-2-114-78-3-56-34*
63,0,34,14.0,22130.0,1580.7142857142858,0-11-2-114-78-3-56-34*
7559,0,34,11.0,22130.0,2011.8181818181818,0-11-2-114-78-3-56-34*
7560,0,34,9.0,22130.0,2458.8888888888887,0-11-2-114-78-3-56-34*
64,0,35,15.0,8720.0,581.3333333333334,0-101-88-91-35*
65,0,35,11.0,8720.0,792.7272727272727,0-101-88-91-35*
7792,0,35,13.0,8720.0,670.7692307692307,0-101-88-91-35*
7793,0,35,10.0,8720.0,872.0,0-101-88-91-35*
66,0,36,13.0,13440.0,1033.8461538461538,0-11-1-27-29-36*
67,0,36,11.0,13440.0,1221.8181818181818,0-11-1-27-29-36*
8003,0,36,16.0,11840.0,740.0,0-11-1-81-9-36*
8004,0,36,11.0,11840.0,1076.3636363636363,0-11-1-81-9-36*
68,0,37,8.0,2520.0,315.0,0-79-37*
69,0,37,7.0,2520.0,360.0,0-79-37*
8227,0,37,5.0,2520.0,504.0,0-79-37*
8228,0,37,3.0,2520.0,840.0,0-79-37*
70,0,38,12.0,6760.0,563.3333333333334,0-11-46-39-38*
71,0,38,11.0,6760.0,614.5454545454545,0-11-46-39-38*
8435,0,38,16.0,5400.0,337.5,0-101-88-25-38*
8436,0,38,11.0,5400.0,490.90909090909093,0-101-88-25-38*
72,0,39,8.0,3900.0,487.5,0-11-46-39*
73,0,39,5.0,3900.0,780.0,0-11-46-39*
8639,0,39,6.0,3900.0,650.0,0-11-46-39*
8640,0,39,4.0,3900.0,975.0,0-11-46-39*
74,0,40,4.0,3860.0,965.0,0-7-40*
8825,0,40,3.0,3860.0,1286.6666666666667,0-7-40*
8826,0,40,2.0,3860.0,1930.0,0-7-40*
75,0,41,12.0,6640.0,553.3333333333334,0-101-88-25-41*
76,0,41,10.0,6640.0,664.0,0-101-88-25-41*
9033,0,41,16.0,6640.0,415.0,0-101-88-25-41*
9034,0,41,11.0,6640.0,603.6363636363636,0-101-88-25-41*
77,0,42,17.0,14120.0,830.5882352941177,0-11-1-27-52-89-42*
78,0,42,13.0,18360.0,1412.3076923076924,0-11-1-46-39-31-89-42*
