,f1_ATT,f2_TRT,Routes
5,10.952933591231464,146,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10-12*5-7-14-6-9-10-11-3*11-10-9-7-5-3-4-1*
0,12.076724693745971,93,0-1-2-5-14-6*8-14-6*14-6-9-13-12*12-10-9-7-5-3-4*5-2-1*11-3-1*
1,11.377820760799484,103,0-1-2-5-14-6*8-14-6*14-6-9-13-12*12-10-9-7-5-3-4*5-2-1*10-11-3-1*
2,11.748549323017409,98,0-1-2-5-14-6*8-14-6*14-6-9-13-12*10-9-7-5-3-4*5-2-1*10-11-3-1*
3,11.277240490006447,111,0-1-2-5-14-6-9*8-14-6*6-9-13-12*11-10-9-7-5-3-4-1-2*5-2-1*11-3-1*
4,11.225660863958735,119,0-1-2-5-14-6-9-13-12*8-14-6*6-9-13*11-10-9-7-5-3-4-1-2*5-2-1*11-3-1*
5,11.109606705351386,121,0-1-2-5-14-6-9-13-12*8-14-6*6-9-13*11-10-9-7-5-3-4-1-2*7-5-2-1*11-3-1*
6,11.06447453255964,131,0-1-2-5-14-6-9-13-12*8-14-6*14-6-9-13*11-10-9-7-5-3-4-1-2*9-7-5-2-1*11-3-1*
9,10.757575757575758,149,0-1-2-5-14-6-9-13-12-10*8-14-6*14-6-9-13*11-10-9-7-5-3-4-1-2*9-7-5-2-1-3*10-11-3-1*
10,10.70728562217924,154,0-1-2-5-14-6-9-13-12-10*8-14-6*14-6-9-13*11-10-9-7-5-3-4-1-2*9-7-5-2-1-3*12-10-11-3-1*
11,10.697614442295293,171,0-1-2-5-14-6-9-13-12-10*8-14-6*14-6-9-13*11-10-9-7-5-3-4-1-2*6-9-7-5-2-1-3-11*12-10-11-3-1*
12,10.635074145712444,181,0-1-2-5-14-6-9-13-12-10*8-14-6*14-6-9-13-12*11-10-9-7-5-3-4-1-2*6-9-7-5-2-1-3-11*12-10-11-3-1-0*
13,10.530625402965828,189,0-1-2-5-14-6-9-13-12-10*8-14-6*8-14-6-9-13-12*11-10-9-7-5-3-4-1-2*6-9-7-5-2-1-3-11*12-10-11-3-1-0*
0,15.580915538362348,75,6-14-7*10-9-6*4-3-5-7*11-10-9*0-1-2-5-14-8*9-13-12*
2,12.058027079303674,94,0-1-2-5-14-6*14-6-9-10*2-5-14-8*4-3-5-7-9-13-12*11-10-9*5-14-6*
4,11.985815602836881,95,0-1-2-5-14-6*5-7-14-6-9-10*5-14-8*4-3-5-7-9-13-12*11-10-9*5-14-6*
0,14.645390070921984,78,11-10-12-13*2-5-14*7-5-3-4*2-1-0*10-9-6-14-8*7-9-10*
1,14.200515796260474,80,11-10-12-13*1-2-5-14*7-5-3-4*2-1-0*10-9-6-14-8*7-9-10*
0,12.865248226950355,81,6-14-5*4-3-5-14-8*5-2-1-0*9-6-14*2-5-7-9-10*13-12-10-11*
1,12.254029658284976,89,6-14-5*4-3-5-14*5-2-1-0*9-6-14-8*2-5-7-9-10*9-13-12-10-11*
2,12.147646679561571,91,6-14-5*4-3-5-14*7-5-2-1-0*9-6-14-8*2-5-7-9-10*9-13-12-10-11*
3,12.729851708575113,83,6-14-5*4-3-5-14*7-5-2-1-0*9-6-14-8*2-5-7-9-10*13-12-10-11*
2,10.813023855577047,147,6-14-5-2-1-0*8-14-5-3-4-1*10-9-7-5-3-4*3-11-10-9-6-14*0-1-2-5-7-9-13-12-10*14-6-9*
3,10.987105093488074,139,6-14-5-2-1-0*8-14-5-3-4-1*10-9-7-5-3-4*3-11-10-9-6-14*1-2-5-7-9-13-12-10*14-6-9*
