,f1_ATT,f2_TRT,Routes
70,11.4642166344294,107,6-14-7*8-14-6-9-13*10-12-13*0-1-2-5-7-9-10*9-10-11*12-10-9-7-5-3-4*
246,14.645390070921986,78,11-10-12-13*2-5-14*7-5-3-4*2-1-0*10-9-6-14-8*7-9-10*
263,11.218568665377177,137,11-10-12-13*12-13-9-7-5-2-1-0*4-3-5-7-9*12-9-6-14-8*11-3-5-14-6*10-9-7-5-3-4*
345,12.796260477111542,87,1-3-11*9-13-12*9-6-14-8*8-14-5*0-1-2-5-7-9-10*5-3-4*
478,12.865248226950355,81,6-14-5*4-3-5-14-8*5-2-1-0*9-6-14*2-5-7-9-10*13-12-10-11*
510,11.760799484203739,99,12-13-9-6-14*8-14-5-3*0-1-2-5-14-6*6-14-7*12-10-11*12-10-9-7-5-3-4*
512,11.232753062540297,122,6-14-5-2-1-0*8-14-5-3-4*12-10-9-7-5-3-4*11-10-9*0-1-2-5-7-9-13-12*14-6-9*
547,11.479045776918117,105,4-1-2*0-1-3*0-1-2-5-7-9-10-12*4-3-5-14-6*8-14-6-9-13*11-10-12*
616,12.701482914248873,89,8-14-6-9*6-14-5-2-1*4-1-2*11-10-12-13*10-9-7-5-3-4*0-1-4*
659,12.07672469374597,93,0-1-2-5-14-6*8-14-6*14-6-9-13-12*12-10-9-7-5-3-4*5-2-1*11-3-1*
742,15.580915538362348,75,6-14-7*10-9-6*4-3-5-7*11-10-9*0-1-2-5-14-8*9-13-12*
887,11.756286266924565,101,0-1-2-5-14-6*14-6-9-10-12*1-2-5-14-8*4-3-5-7-9-13-12*11-10-9*5-14-6*
951,11.290780141843971,117,8-14-6-9-13-12*9-10-11*1-2-5-14-6*0-1-3-11*8-14-5-3-4*1-2-5-7-9-10-12*
