,f1_ATT,f2_TRT,Routes
0,12.701482914248873,89,8-14-6-9*6-14-5-2-1*4-1-2*11-10-12-13*10-9-7-5-3-4*0-1-4*
1,13.40361057382334,87,8-14-6-9*6-14-5-2*4-1-2*11-10-12-13*10-9-7-5-3-4*0-1-4*
3,14.368794326241135,84,8-14-6*6-14-5-2*4-1-2*11-10-12-13*10-9-7-5-3-4*0-1-4-3*
7,12.21985815602837,104,8-14-6*9-6-14-5-2-1*4-1-2*2-1-3-11-10-12-13*10-9-7-5-3*0-1-4-3*
8,12.118633139909736,114,8-14-6*9-6-14-5-2-1*4-1-2-5*5-2-1-3-11-10-12-13-9*10-9-7-5*0-1-4-3*
9,12.10896196002579,124,8-14-6*9-6-14-5-2-1*4-1-2-5*5-2-1-3-11-10-12-13-9*10-9-7-5*0-1-4-3-11*
10,12.005802707930368,131,8-14-6-9*9-6-14-5-2-1*4-1-2-5*5-2-1-3-11-10-12-13-9*10-9-7-5*0-1-4-3-11*
13,11.980657640232108,147,8-14-6-9-7*10-9-6-14-5-2-1*3-4-1-2-5-7-14*2-1-3-11-10-12-13-9-7*11-10-9*0-1-4-3*
14,11.91424887169568,153,8-14-6-9-7*10-9-6-14-5-2-1-4*3-4-1-2-5-7-14*2-1-3-11-10-12-13-9-7*11-10-9*0-1-4-3*
16,11.958736299161831,152,8-14-6-9-7*12-10-9-6-14-5-2-1*3-4-1-2-5-7-14*2-1-3-11-10-12-13-9-7*11-10-9*0-1-4-3*
17,11.731785944551902,154,8-14-6-9-7-5*12-10-9-6-14-5-2-1*3-4-1-2-5-7-14*2-1-3-11-10-12-13-9-7*11-10-9*0-1-4-3*
20,11.438426821405544,161,8-14-6-9-7-5-2*12-10-9-6-14-5-2-1*3-4-1-2-5-7-14*2-1-3-11-10-12-13-9-7*10-9-12*0-1-4-3-5*
21,11.363636363636363,163,8-14-6-9-7-5-2-1*12-10-9-6-14-5-2-1*3-4-1-2-5-7-14*2-1-3-11-10-12-13-9-7*10-9-12*0-1-4-3-5*
24,11.168278529980658,182,8-14-6-9-7-5-2-1-4*12-10-9-6-14-5-2-1*3-4-1-2-5-7-14*5-2-1-3-11-10-12-13-9-7*11-10-9-12*0-1-4-3-5*
25,11.170212765957446,179,8-14-6-9-7-5-2-1-4*12-10-9-6-14-5-2-1*3-4-1-2-5-7-14*2-1-3-11-10-12-13-9-7*11-10-9-12*0-1-4-3-5*
26,11.192134107027725,174,8-14-6-9-7-5-2-1-4*10-9-6-14-5-2-1*3-4-1-2-5-7-14*2-1-3-11-10-12-13-9-7*11-10-9-12*0-1-4-3-5*
27,11.252095422308189,169,8-14-6-9-7-5-2-1-4*9-6-14-5-2-1*3-4-1-2-5-7-14*2-1-3-11-10-12-13-9-7*11-10-9-12*0-1-4-3-5*
