,Layers,Learning rate,Accuracy,Training time,Iterations,,
0,"[6, 15, 30, 15, 1]",0.01,96.6985,78.230041,5000,,
1,"[6, 15, 30, 15, 1]",0.009,96.5353,75.885388,5000,,
2,"[6, 15, 30, 15, 1]",0.0085,96.8089,73.759609,5000,,
3,"[6, 15, 30, 15, 1]",0.008,96.3876,74.433221,5000,,
4,"[6, 15, 30, 15, 1]",0.0075,96.7278,74.652096,5000,,
5,"[6, 15, 30, 15, 1]",0.007,96.335,73.993476,5000,,
6,"[6, 15, 30, 15, 1]",0.0065,96.7306,75.314715,5000,,
7,"[6, 15, 30, 15, 1]",0.006,96.8093,73.941504,5000,,
8,"[6, 15, 30, 15, 1]",0.005,96.9807,74.924939,5000,,
9,"[6, 20, 10, 5, 1]",0.01,96.7749,48.354209,5000,,
10,"[6, 20, 10, 5, 1]",0.009,97.0656,49.574508,5000,,GOOD
11,"[6, 20, 10, 5, 1]",0.0085,96.6366,48.108351,5000,,
12,"[6, 20, 10, 5, 1]",0.008,96.5371,49.124768,5000,,
13,"[6, 20, 10, 5, 1]",0.0075,96.7006,51.276531,5000,,
14,"[6, 20, 10, 5, 1]",0.007,96.4823,47.606639,5000,,
15,"[6, 20, 10, 5, 1]",0.0065,96.7544,46.170466,5000,,
16,"[6, 20, 10, 5, 1]",0.006,96.5267,46.284398,5000,,
17,"[6, 20, 10, 5, 1]",0.005,96.8866,47.534682,5000,,
18,"[6, 50, 30, 10, 1]",0.01,97.3128,141.836195,5000,,
19,"[6, 50, 30, 10, 1]",0.009,97.1146,133.88891,5000,,
20,"[6, 50, 30, 10, 1]",0.0085,97.3112,130.566147,5000,,
21,"[6, 50, 30, 10, 1]",0.008,97.0179,140.068499,5000,,
22,"[6, 50, 30, 10, 1]",0.0075,96.7719,148.657482,5000,,
23,"[6, 50, 30, 10, 1]",0.007,96.726,134.672602,5000,,
24,"[6, 50, 30, 10, 1]",0.0065,96.7245,131.409477,5000,,
25,"[6, 50, 30, 10, 1]",0.006,96.7141,136.490881,5000,,
26,"[6, 50, 30, 10, 1]",0.005,96.709,131.328103,5000,,
27,"[6, 50, 50, 30, 20, 1]",0.01,97.181,230.969066,5000,,
28,"[6, 50, 50, 30, 20, 1]",0.009,97.1521,237.925247,5000,,
29,"[6, 50, 50, 30, 20, 1]",0.0085,97.1096,241.498156,5000,,
30,"[6, 50, 50, 30, 20, 1]",0.008,97.059,239.620554,5000,,
31,"[6, 50, 50, 30, 20, 1]",0.0075,96.9655,232.850847,5000,,
32,"[6, 50, 50, 30, 20, 1]",0.007,96.8661,237.869525,5000,,
33,"[6, 50, 50, 30, 20, 1]",0.0065,96.8292,238.58476,5000,,
34,"[6, 50, 50, 30, 20, 1]",0.006,96.8492,214.652597,5000,,
35,"[6, 50, 50, 30, 20, 1]",0.005,97.0231,211.826327,5000,,
36,"[6, 10, 10, 10, 10, 10, 10, 1]",0.01,85.3601,40.65201,5000,,
37,"[6, 10, 10, 10, 10, 10, 10, 1]",0.009,0,42.430265,5000,,
38,"[6, 10, 10, 10, 10, 10, 10, 1]",0.0085,85.3601,40.568355,5000,,
39,"[6, 10, 10, 10, 10, 10, 10, 1]",0.008,95.7033,46.032232,5000,,
40,"[6, 10, 10, 10, 10, 10, 10, 1]",0.0075,96.699,47.017352,5000,,
41,"[6, 10, 10, 10, 10, 10, 10, 1]",0.007,96.127,44.529596,5000,,
42,"[6, 10, 10, 10, 10, 10, 10, 1]",0.0065,95.7475,41.607626,5000,,
43,"[6, 10, 10, 10, 10, 10, 10, 1]",0.006,85.5208,40.130762,5000,,
44,"[6, 10, 10, 10, 10, 10, 10, 1]",0.005,95.672,46.52867,5000,,
45,"[6, 20, 20, 20, 20, 20, 20, 1]",0.01,96.6535,160.468172,5000,,
46,"[6, 20, 20, 20, 20, 20, 20, 1]",0.009,96.7746,151.630713,5000,,
47,"[6, 20, 20, 20, 20, 20, 20, 1]",0.0085,96.8724,158.55166,5000,,
48,"[6, 20, 20, 20, 20, 20, 20, 1]",0.008,96.2474,157.957924,5000,,
49,"[6, 20, 20, 20, 20, 20, 20, 1]",0.0075,96.2992,155.592844,5000,,
50,"[6, 20, 20, 20, 20, 20, 20, 1]",0.007,96.4047,159.404168,5000,,
51,"[6, 20, 20, 20, 20, 20, 20, 1]",0.0065,96.6146,159.820645,5000,,
52,"[6, 20, 20, 20, 20, 20, 20, 1]",0.006,96.4247,162.918037,5000,,
53,"[6, 20, 20, 20, 20, 20, 20, 1]",0.005,96.379,160.875402,5000,,
54,"[6, 10, 50, 30, 10, 1]",0.01,95.7683,119.185301,5000,,
55,"[6, 10, 50, 30, 10, 1]",0.009,96.6082,122.371593,5000,,
56,"[6, 10, 50, 30, 10, 1]",0.0085,96.6745,130.094546,5000,,
57,"[6, 10, 50, 30, 10, 1]",0.008,96.9175,132.095779,5000,,
58,"[6, 10, 50, 30, 10, 1]",0.0075,96.7979,137.910967,5000,,
59,"[6, 10, 50, 30, 10, 1]",0.007,96.7623,135.454216,5000,,
60,"[6, 10, 50, 30, 10, 1]",0.0065,96.3664,126.36222,5000,,
61,"[6, 10, 50, 30, 10, 1]",0.006,96.6086,127.031414,5000,,
62,"[6, 10, 50, 30, 10, 1]",0.005,96.4617,123.129931,5000,,
