,Layers,Learning rate,Accuracy
0,"[6, 10, 5, 1]",0.07,85.3601
1,"[6, 10, 5, 1]",0.06,95.3861
2,"[6, 10, 5, 1]",0.05,85.3601
3,"[6, 10, 5, 1]",0.01,95.9441
4,"[6, 10, 5, 1]",0.009,95.1564
5,"[6, 10, 5, 1]",0.0085,95.1218
6,"[6, 10, 5, 1]",0.008,95.9382
7,"[6, 10, 5, 1]",0.0075,95.2579
8,"[6, 10, 5, 1]",0.006,95.4573
9,"[6, 10, 10, 10, 1]",0.07,0.0
10,"[6, 10, 10, 10, 1]",0.06,0.0
11,"[6, 10, 10, 10, 1]",0.05,0.0
12,"[6, 10, 10, 10, 1]",0.01,0.0
13,"[6, 10, 10, 10, 1]",0.009,0.0
14,"[6, 10, 10, 10, 1]",0.0085,0.0
15,"[6, 10, 10, 10, 1]",0.008,0.0
16,"[6, 10, 10, 10, 1]",0.0075,0.0
17,"[6, 10, 10, 10, 1]",0.006,0.0
18,"[6, 15, 30, 15, 1]",0.07,0.0
19,"[6, 15, 30, 15, 1]",0.06,0.0
20,"[6, 15, 30, 15, 1]",0.05,85.3601
21,"[6, 15, 30, 15, 1]",0.01,95.4727
22,"[6, 15, 30, 15, 1]",0.009,95.2805
23,"[6, 15, 30, 15, 1]",0.0085,95.8281
24,"[6, 15, 30, 15, 1]",0.008,95.2014
25,"[6, 15, 30, 15, 1]",0.0075,95.8744
26,"[6, 15, 30, 15, 1]",0.006,96.0808
27,"[6, 20, 10, 5, 1]",0.07,0.0
28,"[6, 20, 10, 5, 1]",0.06,85.3601
29,"[6, 20, 10, 5, 1]",0.05,85.3601
30,"[6, 20, 10, 5, 1]",0.01,96.3724
31,"[6, 20, 10, 5, 1]",0.009,96.0463
32,"[6, 20, 10, 5, 1]",0.0085,95.2036
33,"[6, 20, 10, 5, 1]",0.008,95.1242
34,"[6, 20, 10, 5, 1]",0.0075,95.853
35,"[6, 20, 10, 5, 1]",0.006,95.3585
36,"[6, 50, 30, 10, 1]",0.07,85.3601
37,"[6, 50, 30, 10, 1]",0.06,0.0
38,"[6, 50, 30, 10, 1]",0.05,0.0
39,"[6, 50, 30, 10, 1]",0.01,96.4101
40,"[6, 50, 30, 10, 1]",0.009,95.883
41,"[6, 50, 30, 10, 1]",0.0085,96.1958
42,"[6, 50, 30, 10, 1]",0.008,96.0007
43,"[6, 50, 30, 10, 1]",0.0075,95.5076
44,"[6, 50, 30, 10, 1]",0.006,95.6659
45,"[6, 50, 50, 30, 20, 1]",0.07,0.0
46,"[6, 50, 50, 30, 20, 1]",0.06,85.3601
47,"[6, 50, 50, 30, 20, 1]",0.05,0.0
48,"[6, 50, 50, 30, 20, 1]",0.01,95.7305
49,"[6, 50, 50, 30, 20, 1]",0.009,95.8456
50,"[6, 50, 50, 30, 20, 1]",0.0085,95.7766
51,"[6, 50, 50, 30, 20, 1]",0.008,95.5146
52,"[6, 50, 50, 30, 20, 1]",0.0075,95.6908
53,"[6, 50, 50, 30, 20, 1]",0.006,95.7932
54,"[6, 10, 10, 10, 10, 10, 10, 1]",0.07,0.0
55,"[6, 10, 10, 10, 10, 10, 10, 1]",0.06,0.0
56,"[6, 10, 10, 10, 10, 10, 10, 1]",0.05,0.0
57,"[6, 10, 10, 10, 10, 10, 10, 1]",0.01,85.3601
58,"[6, 10, 10, 10, 10, 10, 10, 1]",0.009,0.0
59,"[6, 10, 10, 10, 10, 10, 10, 1]",0.0085,85.3601
60,"[6, 10, 10, 10, 10, 10, 10, 1]",0.008,94.329
61,"[6, 10, 10, 10, 10, 10, 10, 1]",0.0075,95.9408
62,"[6, 10, 10, 10, 10, 10, 10, 1]",0.006,85.3609
63,"[6, 20, 20, 20, 20, 20, 20, 1]",0.07,0.0
64,"[6, 20, 20, 20, 20, 20, 20, 1]",0.06,0.0
65,"[6, 20, 20, 20, 20, 20, 20, 1]",0.05,0.0
66,"[6, 20, 20, 20, 20, 20, 20, 1]",0.01,95.591
67,"[6, 20, 20, 20, 20, 20, 20, 1]",0.009,95.852
68,"[6, 20, 20, 20, 20, 20, 20, 1]",0.0085,96.0709
69,"[6, 20, 20, 20, 20, 20, 20, 1]",0.008,95.4539
70,"[6, 20, 20, 20, 20, 20, 20, 1]",0.0075,95.2506
71,"[6, 20, 20, 20, 20, 20, 20, 1]",0.006,95.1307
72,"[6, 10, 50, 30, 10, 1]",0.07,0.0
73,"[6, 10, 50, 30, 10, 1]",0.06,0.0
74,"[6, 10, 50, 30, 10, 1]",0.05,0.0
75,"[6, 10, 50, 30, 10, 1]",0.01,95.0141
76,"[6, 10, 50, 30, 10, 1]",0.009,95.5428
77,"[6, 10, 50, 30, 10, 1]",0.0085,95.5246
78,"[6, 10, 50, 30, 10, 1]",0.008,96.2581
79,"[6, 10, 50, 30, 10, 1]",0.0075,95.3599
80,"[6, 10, 50, 30, 10, 1]",0.006,95.7102
81,"[6, 10, 50, 20, 6, 1]",0.07,0.0
82,"[6, 10, 50, 20, 6, 1]",0.06,0.0
83,"[6, 10, 50, 20, 6, 1]",0.05,85.3601
84,"[6, 10, 50, 20, 6, 1]",0.01,96.2425
85,"[6, 10, 50, 20, 6, 1]",0.009,95.9674
86,"[6, 10, 50, 20, 6, 1]",0.0085,95.2747
87,"[6, 10, 50, 20, 6, 1]",0.008,95.7093
88,"[6, 10, 50, 20, 6, 1]",0.0075,95.6514
89,"[6, 10, 50, 20, 6, 1]",0.006,95.8797
