,Unnamed: 0,Source,Target,Travel_time,Demand,Demand_per_minute,Routes,|V|,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14
0,0,0,1,8.0,800.0,100.0,0-1*,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,2,10.0,1300.0,130.0,0-1-2*,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0,2,25.0,3420.0,136.8,0-1-4-3-5-2*,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0,2,18.0,2900.0,161.11111111111111,0-1-3-5-2*,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0,3,18.0,1460.0,81.1111111111111,0-1-4-3*,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,0,3,11.0,1160.0,105.45454545454544,0-1-3*,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,0,3,17.0,2900.0,170.58823529411762,0-1-2-5-3*,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,557,0,3,51.0,9950.0,195.09803921568627,0-1-2-5-14-7-9-10-11-3*,10.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
8,556,0,3,50.0,9950.0,199.0,0-1-2-5-14-6-9-10-11-3*,10.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
9,555,0,3,48.0,9950.0,207.29166666666663,0-1-2-5-7-9-10-11-3*,9.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
10,558,0,3,51.0,11830.0,231.9607843137255,0-1-2-5-7-14-6-9-10-11-3*,11.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
11,7,0,4,14.0,1000.0,71.42857142857143,0-1-4*,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,0,4,15.0,1460.0,97.33333333333331,0-1-3-4*,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,9,0,4,21.0,3420.0,162.85714285714286,0-1-2-5-3-4*,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,12,0,5,22.0,2420.0,110.0,0-1-4-3-5*,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,11,0,5,15.0,2020.0,134.66666666666666,0-1-3-5*,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,10,0,5,13.0,2320.0,178.46153846153842,0-1-2-5*,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1016,0,5,48.0,8740.0,182.08333333333331,0-1-3-11-10-9-6-14-5*,9.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
18,1015,0,5,46.0,8740.0,190.0,0-1-3-11-10-9-7-5*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
19,17,0,6,27.0,3100.0,114.8148148148148,0-1-4-3-5-14-6*,7.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,15,0,6,20.0,2650.0,132.5,0-1-3-5-14-6*,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,18,0,6,28.0,3880.0,138.57142857142858,0-1-4-3-5-7-14-6*,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,16,0,6,21.0,3380.0,160.95238095238096,0-1-3-5-7-14-6*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,13,0,6,18.0,3030.0,168.33333333333334,0-1-2-5-14-6*,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,24,0,6,59.0,11460.0,194.2372881355932,0-1-2-5-3-11-10-12-9-6*,10.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
25,14,0,6,19.0,3840.0,202.10526315789474,0-1-2-5-7-14-6*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,22,0,6,49.0,9950.0,203.0612244897959,0-1-2-5-3-11-10-9-6*,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
27,25,0,6,59.0,12040.0,204.0677966101695,0-1-2-5-3-11-10-12-13-9-6*,11.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
28,1148,0,6,51.0,10440.0,204.70588235294116,0-1-3-11-10-9-7-5-14-6*,10.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
29,21,0,6,42.0,8700.0,207.14285714285717,0-1-4-3-5-14-7-9-6*,9.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30,26,0,6,64.0,13360.0,208.75,0-1-2-5-3-11-10-12-9-7-14-6*,12.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
31,27,0,6,64.0,13950.0,217.96875,0-1-2-5-3-11-10-12-13-9-7-14-6*,13.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32,23,0,6,54.0,11830.0,219.0740740740741,0-1-2-5-3-11-10-9-7-14-6*,11.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
33,20,0,6,35.0,7960.0,227.42857142857144,0-1-3-5-14-7-9-6*,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
34,19,0,6,33.0,8030.0,243.33333333333331,0-1-2-5-14-7-9-6*,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
35,1147,0,6,32.0,7960.0,248.75,0-1-3-5-7-9-6*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,1146,0,6,30.0,8030.0,267.6666666666667,0-1-2-5-7-9-6*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,33,0,7,27.0,3100.0,114.8148148148148,0-1-4-3-5-14-7*,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
