,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,4,5,3,10000,10000,10000,10000,10000,10000,10000,10000,10000
2,4,0,6,10000,5,10000,10000,10000,10000,8,10000,10000,10000
3,5,6,0,3,3,3,10000,10000,10000,10000,10000,10000,10000
4,3,10000,3,0,3,3,10000,2,10000,10000,10000,5,10000
5,10000,5,3,3,0,2,2,10000,10000,10000,10000,10000,10000
6,10000,10000,3,3,2,0,10000,4,3,10000,10000,10000,10000
7,10000,10000,10000,10000,2,10000,0,10000,2,5,10000,10000,10000
8,10000,10000,10000,2,10000,4,10000,0,3,10000,10000,4,10000
9,10000,10000,10000,10000,10000,3,2,3,0,10000,2,4,10000
10,10000,8,10000,10000,10000,10000,5,10000,10000,0,3,10000,10000
11,10000,10000,10000,10000,10000,10000,10000,10000,2,3,0,3,4
12,10000,10000,10000,5,10000,10000,10000,4,4,10000,3,0,3
13,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,3,0
