,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,30,50,40,200,300,200,300,100,100,30,20,20
2,30,0,150,20,300,300,300,20,200,50,50,50,40
3,50,150,0,150,50,300,200,400,200,100,20,20,20
4,40,20,150,0,50,200,200,30,200,40,40,50,40
5,200,300,50,50,0,200,200,300,300,60,50,70,30
6,300,300,300,200,200,0,300,600,400,200,150,200,70
7,200,300,200,200,200,300,0,300,400,50,80,200,70
8,300,20,400,30,300,600,300,0,600,400,150,300,100
9,100,200,200,200,300,400,400,600,0,200,200,300,70
10,100,50,100,40,60,200,50,400,200,0,50,70,20
11,30,50,20,40,50,150,80,150,200,50,0,30,10
12,20,50,20,50,70,200,200,300,300,70,30,0,40
13,20,40,20,40,30,70,70,100,70,20,10,40,0
