,f_1,f_2,routes
0,10.22308188265635,189.0,12-13-9-6-14-5-2-1-0*0-1-3-11-10-12*11-10-9-6-14-8*0-1-4-3-5-7-14-6*10-9-7-5-3-4*0-1-2-5-7-9-10-12-13*
1,10.23404255319149,173.0,13-12-10-9-7-5-2-1-0*6-14-5-3-4-1-0*8-14-6-9-10-11-3-1-0*6-14-7*12-13-9-7-5-3-4-1-2*6-14-5-2-1-0*
2,10.243713733075435,171.0,13-12-10-9-7-5-2-1-0*6-14-5-3-4-1-0*8-14-6-9-10-11-3-1-0*2-1-4-3-5-7-9-13*6-14-7*6-14-5-2-1-0*
3,10.256608639587363,170.0,13-12*13-9-7-5-3-4-1-2*8-14-6-9-10-11-3-1-0*6-14-7-5-3-4-1-0*13-12-10-9-7-5-2-1-0*6-14-5-2-1-0*
4,10.267569310122502,168.0,0-1-2-5-14-6*0-1-2-5-7-9-10-12*12-13*0-1-4-3-5-7-14-6*2-1-4-3-5-7-9-13*0-1-3-11-10-9-6-14-8*
4,10.272727272727273,165.0,13-12-10-9-7-5-2-1-0*6-14-5-2-1-0*6-14-5-3-4-1-0*8-14-6-9-10-11-3-1-0*12-13-9-7-5-3-4*6-14-7*
5,10.282398452611217,163.0,13-12-10-9-7-5-2-1-0*6-14-5-2-1-0*6-14-5-3-4*8-14-6-9-10-11-3-1-0*13-9-7-5-3-4-1-0*6-14-7*
6,10.295293359123146,157.0,13-9-7-5-3-4-1-2*6-14-7*8-14-6-9-10-11-3-1-0*13-12-10-9-7-5-2-1-0*6-14-5-2-1-0*6-14-5-3-4*
7,10.308188265635074,156.0,13-9-7-5-3-4-1-2*8-14-6-9-10-11-3-1-0*13-12*6-14-7-5-3-4*6-14-5-2-1-0*13-12-10-9-7-5-2-1-0*
8,10.316569954867829,154.0,6-14*8-14-6-9-10-11-3-1-0*12-13-9-7-5-3-4-1-2*6-14-5-2-1-0*6-14-7-5-3*13-12-10-9-7-5-2-1-0*
9,10.326241134751774,152.0,6-14*8-14-6-9-10-11-3-1-0*13-12-10-9-7-5-2-1-0*6-14-7-5-3*6-14-5-2-1-0*13-9-7-5-3-4-1-2*
12,10.337201805286911,150.0,12-13*12-10-9-7-5-2-1-0*6-14-5-2-1-0*8-14-6-9-10-11-3-1-0*2-1-4-3-5-7-9-13*6-14-7-5-3*
7,10.339136041263703,148.0,13-9-7-5-3-4*2-1-3-11-10-9-6-14-8*0-1-3-5-14-6*6-14-7*0-1-2-5-7-9-10-12-13*6-14-5-2-1-4*
8,10.352030947775628,146.0,13-9-7-5-3-4*1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12-13*6-14-5-2-1-4*6-14-5-3-1-0*6-14-7*
11,10.364925854287556,143.0,6-14-7*13-12-10-9-7-5-2-1-0*8-14-6-9-10-11-3*6-14-5-2-1-4*13-9-7-5-3-4*6-14-5-3-1-0*
1,10.390070921985817,141.0,4-3-5-7-9-13-12*8-14-6-9-10-11-3*4-3-1-2-5-14-6*4-3-1-0*0-1-2-5-7-9-10-12-13*7-14-6*
7,10.39651837524178,140.0,0-1-2-5-14-6*8-14-6-9-10-11-3*0-1-2-5-7-9-10-12-13*7-14-6*4-3-5-7-9-13*0-1-3-4*
2,10.399742101869762,139.0,6-14-5-2-1-3-4*0-1-2-5-7-9-10-12-13*8-14-6-9-10-11-3*0-1-3-4*13-9-7-5-3-4*6-14-7*
14,10.408768536428113,138.0,12-13-9-7-5-3-4*6-14-7*8-14-6-9-10-11-3-1-0*13-12*6-14-5-2-1-4*13-12-10-9-7-5-2-1-0*
15,10.418439716312056,136.0,4-3-5-7-9-13*6-14-7*8-14-6-9-10-11-3-1-0*13-12*6-14-5-2-1-4*13-12-10-9-7-5-2-1-0*
16,10.429400386847195,134.0,13-12*6-14-5-2-1-4*8-14-6-9-10-11-3-1-0*13-9-7-5-3-4*6-14-7*12-10-9-7-5-2-1-0*
17,10.450676982591878,132.0,12-13-9-7-5-3-4*6-14-5-2-1-4*8-14-6-9-10-11-3-1-2*13-12*6-14-7*13-12-10-9-7-5-2-1-0*
18,10.460348162475825,130.0,13-9-7-5-3-4*6-14-5-2-1-4*8-14-6-9-10-11-3-1-2*13-12*6-14-7*13-12-10-9-7-5-2-1-0*
17,10.47130883301096,128.0,0-1-2-5-7-9-10-12*6-14-5-2-1-4*13-12*2-1-3-11-10-9-6-14-8*6-14-7*13-9-7-5-3-4*
18,10.484203739522886,126.0,0-1-2-5-7-9-10-12*6-14-5-2-1-4*13-12*1-3-11-10-9-6-14-8*6-14-7*13-9-7-5-3-4*
