,Source,Target,Travel_time,Demand,Demand_per_minute,Routes
4,0,1,26.0,6430.0,247.30769230769232,0-50-17-9-1*
0,0,1,23.0,7190.0,312.60869565217394,0-50-17-59-1*
8,0,1,27.0,9650.0,357.4074074074074,0-50-17-59-9-1*
5,0,1,26.0,10100.0,388.46153846153845,0-50-43-17-9-1*
6,0,1,26.0,10610.0,408.0769230769231,0-2-50-17-9-1*
690,0,1,24.0,10100.0,420.8333333333333,0-50-43-17-9-1*
2,0,1,26.0,11740.0,451.53846153846155,0-2-50-17-59-1*
1,0,1,24.0,11700.0,487.5,0-50-43-17-59-1*
9,0,1,27.0,14170.0,524.8148148148148,0-50-43-17-59-9-1*
7,0,1,26.0,14930.0,574.2307692307693,0-2-50-43-17-9-1*
689,0,1,26.0,16900.0,650.0,0-2-50-43-17-59-1*
688,0,1,26.0,17870.0,687.3076923076923,0-50-43-20-55-16-1*
691,0,1,26.0,17900.0,688.4615384615385,0-50-43-20-10-16-1*
3,0,1,24.0,16900.0,704.1666666666666,0-2-50-43-17-59-1*
692,0,1,26.0,23210.0,892.6923076923077,0-2-50-43-20-55-16-1*
11,0,2,10.0,1640.0,164.0,0-23-2*
10,0,2,4.0,710.0,177.5,0-2*
12,0,2,9.0,1740.0,193.33333333333334,0-50-2*
1373,0,2,16.0,3130.0,195.625,0-50-23-2*
14,0,2,18.0,3600.0,200.0,0-3-23-2*
1374,0,2,32.0,9610.0,300.3125,0-50-17-61-14-2*
13,0,2,16.0,5690.0,355.625,0-69-23-2*
17,0,2,22.0,7900.0,359.09090909090907,0-3-29-23-2*
15,0,2,19.0,7680.0,404.2105263157895,0-69-3-23-2*
16,0,2,19.0,7680.0,404.2105263157895,0-3-69-23-2*
1375,0,2,26.0,14360.0,552.3076923076923,0-50-43-17-61-14-2*
18,0,2,22.0,12860.0,584.5454545454545,0-3-29-69-23-2*
1376,0,2,22.0,20840.0,947.2727272727273,0-50-13-43-17-61-14-2*
19,0,3,7.0,970.0,138.57142857142858,0-3*
21,0,3,9.0,1940.0,215.55555555555554,0-23-3*
24,0,3,15.0,3600.0,240.0,0-2-23-3*
20,0,3,8.0,2470.0,308.75,0-69-3*
26,0,3,15.0,4940.0,329.3333333333333,0-69-23-3*
2056,0,3,15.0,5000.0,333.3333333333333,0-69-48-3*
23,0,3,13.0,5890.0,453.0769230769231,0-23-29-3*
27,0,3,13.0,5980.0,460.0,0-69-66-3*
2053,0,3,10.0,4940.0,494.0,0-23-69-3*
22,0,3,12.0,6120.0,510.0,0-69-29-3*
25,0,3,13.0,7900.0,607.6923076923077,0-2-23-29-3*
28,0,3,13.0,9770.0,751.5384615384615,0-69-23-29-3*
2055,0,3,10.0,9570.0,957.0,0-23-69-66-3*
2054,0,3,10.0,9770.0,977.0,0-23-69-29-3*
2732,0,4,32.0,14020.0,438.125,0-50-33-58-41-12-4*
31,0,4,32.0,15440.0,482.5,0-3-38-36-41-12-4*
33,0,4,32.0,16180.0,505.625,0-69-19-36-41-12-4*
29,0,4,31.0,16360.0,527.741935483871,0-69-38-36-41-12-4*
2730,0,4,32.0,17280.0,540.0,0-69-19-36-41-25-4*
34,0,4,31.0,17280.0,557.4193548387096,0-69-19-36-41-25-4*
2731,0,4,32.0,17890.0,559.0625,0-3-38-36-41-25-4*
32,0,4,31.0,17890.0,577.0967741935484,0-3-38-36-41-25-4*
30,0,4,31.0,18730.0,604.1935483870968,0-69-38-36-41-25-4*
38,0,4,31.0,21050.0,679.0322580645161,0-3-66-38-36-41-12-4*
35,0,4,33.0,22870.0,693.030303030303,0-69-38-36-41-12-25-4*
36,0,4,33.0,22870.0,693.030303030303,0-69-38-36-41-25-12-4*
2733,0,4,32.0,22710.0,709.6875,0-69-19-36-45-41-12-4*
2728,0,4,32.0,23200.0,725.0,0-69-38-36-45-41-12-4*
37,0,4,33.0,24290.0,736.060606060606,0-3-66-38-36-41-25-4*
2729,0,4,32.0,26160.0,817.5,0-69-38-36-45-41-25-4*
39,0,5,17.0,5700.0,335.29411764705884,0-69-18-5*
45,0,5,19.0,7020.0,369.4736842105263,0-69-19-18-5*
3403,0,5,18.0,7160.0,397.77777777777777,0-3-66-54-5*
41,0,5,18.0,8210.0,456.1111111111111,0-69-19-54-5*
3406,0,5,19.0,9430.0,496.3157894736842,0-69-66-54-5*
42,0,5,19.0,9730.0,512.1052631578947,0-69-18-54-5*
3404,0,5,19.0,9760.0,513.6842105263158,0-3-66-18-5*
43,0,5,19.0,9850.0,518.421052631579,0-69-66-18-5*
44,0,5,19.0,9950.0,523.6842105263158,0-69-38-54-5*
40,0,5,18.0,9430.0,523.8888888888889,0-69-66-54-5*
46,0,5,19.0,10130.0,533.1578947368421,0-69-18-65-5*
3405,0,5,19.0,10300.0,542.1052631578947,0-23-69-18-5*
3407,0,5,19.0,12570.0,661.578947368421,0-3-66-18-54-5*
47,0,5,19.0,12610.0,663.6842105263158,0-69-66-19-54-5*
48,0,5,19.0,14150.0,744.7368421052631,0-69-66-18-54-5*
49,0,6,27.0,12560.0,465.18518518518516,0-50-33-58-35-6*
58,0,6,30.0,15430.0,514.3333333333334,0-50-33-58-51-56-6*
53,0,6,30.0,16600.0,553.3333333333334,0-2-50-33-58-35-6*
51,0,6,29.0,16450.0,567.2413793103449,0-50-33-58-51-35-6*
50,0,6,29.0,17400.0,600.0,0-50-13-33-58-35-6*
4073,0,6,30.0,18110.0,603.6666666666666,0-50-33-58-34-35-6*
57,0,6,30.0,19200.0,640.0,0-50-33-58-64-35-6*
4075,0,6,30.0,20850.0,695.0,0-2-50-33-58-51-35-6*
4072,0,6,29.0,20270.0,698.9655172413793,0-50-13-33-58-51-56-6*
55,0,6,29.0,20850.0,718.9655172413793,0-2-50-33-58-51-35-6*
54,0,6,29.0,21880.0,754.4827586206897,0-2-50-13-33-58-35-6*
52,0,6,29.0,22000.0,758.6206896551724,0-50-13-33-58-51-35-6*
4074,0,6,29.0,23500.0,810.3448275862069,0-50-13-33-58-34-35-6*
56,0,6,29.0,26840.0,925.5172413793103,0-2-50-13-33-58-51-35-6*
4738,0,7,36.0,18940.0,526.1111111111111,0-50-33-58-41-12-4-7*
61,0,7,36.0,21050.0,584.7222222222222,0-3-38-36-41-12-4-7*
63,0,7,36.0,22290.0,619.1666666666666,0-69-19-36-41-12-4-7*
59,0,7,35.0,22370.0,639.1428571428571,0-69-38-36-41-12-4-7*
4736,0,7,36.0,24050.0,668.0555555555555,0-69-19-36-41-25-4-7*
4737,0,7,36.0,24160.0,671.1111111111111,0-3-38-36-41-25-4-7*
64,0,7,35.0,24050.0,687.1428571428571,0-69-19-36-41-25-4-7*
62,0,7,35.0,24160.0,690.2857142857143,0-3-38-36-41-25-4-7*
60,0,7,35.0,25400.0,725.7142857142857,0-69-38-36-41-25-4-7*
68,0,7,35.0,27900.0,797.1428571428571,0-3-66-38-36-41-12-4-7*
65,0,7,37.0,30100.0,813.5135135135135,0-69-38-36-41-12-25-4-7*
66,0,7,37.0,30100.0,813.5135135135135,0-69-38-36-41-25-12-4-7*
4739,0,7,36.0,29860.0,829.4444444444445,0-69-19-36-45-41-12-4-7*
4734,0,7,36.0,30250.0,840.2777777777778,0-69-38-36-45-41-12-4-7*
67,0,7,37.0,31800.0,859.4594594594595,0-3-66-38-36-41-25-4-7*
4735,0,7,36.0,33870.0,940.8333333333334,0-69-38-36-45-41-25-4-7*
71,0,8,24.0,10280.0,428.3333333333333,0-50-17-55-8*
69,0,8,24.0,10480.0,436.6666666666667,0-50-17-10-8*
5383,0,8,26.0,13650.0,525.0,0-50-17-20-52-8*
77,0,8,26.0,13850.0,532.6923076923077,0-50-17-20-55-8*
5382,0,8,24.0,13710.0,571.25,0-50-43-20-10-8*
5381,0,8,23.0,13300.0,578.2608695652174,0-50-43-20-52-8*
73,0,8,25.0,14960.0,598.4,0-50-43-17-10-8*
5384,0,8,25.0,15320.0,612.8,0-50-13-20-52-8*
70,0,8,23.0,14220.0,618.2608695652174,0-50-43-20-55-8*
74,0,8,24.0,14850.0,618.75,0-50-43-17-55-8*
72,0,8,25.0,15680.0,627.2,0-50-13-20-55-8*
75,0,8,26.0,16470.0,633.4615384615385,0-50-17-10-55-8*
78,0,8,26.0,16470.0,633.4615384615385,0-50-17-55-10-8*
5386,0,8,26.0,17880.0,687.6923076923077,0-2-50-43-20-52-8*
5385,0,8,25.0,18360.0,734.4,0-50-43-17-20-52-8*
76,0,8,26.0,20330.0,781.9230769230769,0-50-43-20-55-10-8*
5387,0,8,26.0,20330.0,781.9230769230769,0-50-43-20-10-55-8*
79,0,9,21.0,3840.0,182.85714285714286,0-50-17-9*
83,0,9,25.0,6170.0,246.8,0-23-50-17-9*
6034,0,9,22.0,5690.0,258.6363636363636,0-50-17-59-9*
81,0,9,24.0,6890.0,287.0833333333333,0-2-50-17-9*
80,0,9,22.0,6400.0,290.90909090909093,0-50-43-17-9*
86,0,9,27.0,9210.0,341.1111111111111,0-50-43-61-17-9*
6036,0,9,23.0,8140.0,353.9130434782609,0-50-17-59-68-9*
85,0,9,27.0,10230.0,378.8888888888889,0-50-13-43-17-9*
6035,0,9,22.0,9100.0,413.6363636363636,0-50-43-17-59-9*
6038,0,9,24.0,10040.0,418.3333333333333,0-2-50-17-59-9*
6039,0,9,24.0,10100.0,420.8333333333333,0-2-50-43-17-9*
84,0,9,22.0,9550.0,434.09090909090907,0-23-50-43-17-9*
82,0,9,22.0,10100.0,459.09090909090907,0-2-50-43-17-9*
88,0,9,27.0,13150.0,487.037037037037,0-2-50-43-61-17-9*
87,0,9,27.0,14370.0,532.2222222222222,0-2-50-13-43-17-9*
6037,0,9,22.0,12370.0,562.2727272727273,0-50-43-17-59-68-9*
6040,0,9,24.0,14100.0,587.5,0-2-50-43-17-59-9*
89,0,10,19.0,5510.0,290.0,0-50-17-10*
6681,0,10,22.0,7770.0,353.1818181818182,0-50-17-20-10*
90,0,10,19.0,7440.0,391.57894736842104,0-50-43-20-10*
93,0,10,21.0,8390.0,399.5238095238095,0-50-13-20-10*
95,0,10,22.0,9230.0,419.54545454545456,0-2-50-17-10*
91,0,10,20.0,9010.0,450.5,0-50-43-17-10*
92,0,10,21.0,10120.0,481.9047619047619,0-50-17-55-10*
6683,0,10,22.0,12080.0,549.0909090909091,0-2-50-43-20-10*
6685,0,10,22.0,12730.0,578.6363636363636,0-2-50-17-20-10*
6682,0,10,20.0,11690.0,584.5,0-50-43-17-20-10*
6684,0,10,22.0,13380.0,608.1818181818181,0-2-50-43-17-10*
96,0,10,19.0,12080.0,635.7894736842105,0-2-50-43-20-10*
97,0,10,20.0,13380.0,669.0,0-2-50-43-17-10*
