,Source,Target,Travel_time,Demand,Demand_per_minute,Routes
0,0,1,17.0,8240.0,484.70588235294116,0-17-11-3-1*
1,0,1,18.0,13430.0,746.1111111111111,0-18-17-11-3-1*
2,0,1,18.0,10550.0,586.1111111111111,0-22-17-11-3-1*
3,0,1,19.0,8100.0,426.3157894736842,0-17-11-14-1*
4,0,1,19.0,12700.0,668.421052631579,0-18-17-11-14-1*
5,0,1,19.0,11470.0,603.6842105263158,0-22-17-11-14-1*
6,0,1,20.0,13700.0,685.0,0-17-11-3-9-1*
7,0,1,20.0,20010.0,1000.5,0-18-17-11-3-9-1*
8,0,1,20.0,7090.0,354.5,0-28-7-14-1*
9,0,1,20.0,8800.0,440.0,0-22-25-11-3-1*
290,0,1,17.0,10550.0,620.5882352941177,0-22-17-11-3-1*
291,0,1,18.0,6390.0,355.0,0-25-11-3-1*
292,0,1,17.0,11470.0,674.7058823529412,0-22-17-11-14-1*
293,0,1,18.0,5880.0,326.6666666666667,0-25-11-14-1*
294,0,1,20.0,10870.0,543.5,0-17-11-14-3-1*
295,0,1,17.0,14540.0,855.2941176470588,0-22-17-11-14-3-1*
296,0,1,18.0,8990.0,499.44444444444446,0-25-11-14-3-1*
297,0,1,20.0,12860.0,643.0,0-19-17-11-3-1*
10,0,2,17.0,4920.0,289.4117647058824,0-28-16-2*
11,0,2,18.0,3300.0,183.33333333333334,0-25-7-2*
12,0,2,18.0,4300.0,238.88888888888889,0-28-7-2*
13,0,2,18.0,8480.0,471.1111111111111,0-28-16-27-2*
14,0,2,19.0,3300.0,173.68421052631578,0-13-6-2*
15,0,2,19.0,7660.0,403.1578947368421,0-25-28-16-2*
16,0,2,18.0,6860.0,381.1111111111111,0-25-28-7-2*
17,0,2,18.0,11930.0,662.7777777777778,0-25-28-16-27-2*
18,0,2,20.0,6960.0,348.0,0-28-16-10-2*
19,0,2,20.0,5520.0,276.0,0-18-13-6-2*
574,0,2,20.0,5330.0,266.5,0-13-6-10-2*
575,0,2,20.0,8240.0,412.0,0-18-13-6-10-2*
