,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,8,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
1,8,0,2,3,6,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
2,10000,2,0,10000,10000,3,10000,10000,10000,10000,10000,10000,10000,10000,10000
3,10000,3,10000,0,4,4,10000,10000,10000,10000,10000,10,10000,10000,10000
4,10000,6,10000,4,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5,10000,10000,3,4,10000,0,10000,2,10000,10000,10000,10000,10000,10000,3
6,10000,10000,10000,10000,10000,10000,0,10000,10000,7,10000,10000,10000,10000,2
7,10000,10000,10000,10000,10000,2,10000,0,10000,8,10000,10000,10000,10000,2
8,10000,10000,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,8
9,10000,10000,10000,10000,10000,10000,7,8,10000,0,5,10000,10,8,10000
10,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,0,10,5,10000,10000
11,10000,10000,10000,10,10000,10000,10000,10000,10000,10000,10,0,10000,10000,10000
12,10000,10000,10000,10000,10000,10000,10000,10000,10000,10,5,10000,0,2,10000
13,10000,10000,10000,10000,10000,10000,10000,10000,10000,8,10000,10000,2,0,10000
14,10000,10000,10000,10000,10000,3,2,2,8,10000,10000,10000,10000,10000,0
