"","Iteration","f1_TRT","f2_ATT","Temperature","C_epoch_number","L_iteration_per_epoch","A_num_accepted_moves_per_epoch","eps_num_epochs_without_accepting_solution"
"1",0,59,11.4,10000,1,700,3,3
"2",0,63,11.1907949790795,10000,1,0,0,0
"3",1,77,9.38744769874477,10000,1,1,1,0
"4",2,74,9.5673640167364,10000,1,2,2,0
"5",0,77,10.4669456066946,9500,2,0,0,0
"6",1,79,9.40418410041841,9500,2,1,0,0
"7",2,82,8.97824267782427,9500,2,2,0,0
"8",3,85,8.76903765690377,9500,2,3,1,0
"9",4,77,8.85271966527197,9500,2,4,2,0
"10",0,75,9.42175732217573,9025,3,0,0,0
"11",1,72,9.60502092050209,9025,3,1,1,0
"12",2,68,9.60502092050209,9025,3,2,2,0
"13",0,70,8.58493723849372,8573.75,4,0,0,0
"14",1,71,11.5087866108787,8573.75,4,1,1,0
"15",2,74,11.3414225941423,8573.75,4,2,1,0
"16",3,76,13.402510460251,8573.75,4,3,1,0
"17",4,81,13.073640167364,8573.75,4,4,1,0
"18",5,84,13.052719665272,8573.75,4,5,1,0
"19",6,77,13.1338912133891,8573.75,4,6,1,0
"20",7,85,13.1087866108787,8573.75,4,7,1,0
"21",8,87,12.4853556485356,8573.75,4,8,1,0
"22",9,84,12.5062761506276,8573.75,4,9,1,0
"23",10,86,11.2259414225941,8573.75,4,10,1,0
"24",11,89,11.1757322175732,8573.75,4,11,1,0
"25",12,92,11.1548117154812,8573.75,4,12,1,0
"26",13,94,9.27615062761506,8573.75,4,13,1,0
"27",14,91,9.29707112970711,8573.75,4,14,1,0
"28",15,86,10.218410041841,8573.75,4,15,1,0
"29",16,82,11.7514644351464,8573.75,4,16,1,0
"30",17,85,11.4794979079498,8573.75,4,17,1,0
"31",18,90,11.4794979079498,8573.75,4,18,1,0
"32",19,93,11.4794979079498,8573.75,4,19,1,0
"33",20,96,11.471129707113,8573.75,4,20,1,0
"34",21,100,11.4585774058577,8573.75,4,21,1,0
"35",22,102,9.57071129707113,8573.75,4,22,1,0
"36",23,94,9.57071129707113,8573.75,4,23,1,0
"37",24,92,10.4493723849372,8573.75,4,24,1,0
"38",25,121,8.64435146443515,8573.75,4,25,1,0
"39",26,117,8.89539748953975,8573.75,4,26,1,0
"40",27,115,10.0418410041841,8573.75,4,27,1,0
"41",28,110,10.0418410041841,8573.75,4,28,1,0
"42",29,112,9.24686192468619,8573.75,4,29,1,0
"43",30,117,8.82761506276151,8573.75,4,30,1,0
"44",31,125,8.81087866108787,8573.75,4,31,1,0
"45",32,128,10.1464435146444,8573.75,4,32,1,0
"46",33,133,9.34393305439331,8573.75,4,33,1,0
"47",34,129,9.34393305439331,8573.75,4,34,1,0
