,f1_ATT,f2_TRT,Routes
0,11.756286266924565,101,0-1-2-5-14-6*14-6-9-10-12*1-2-5-14-8*4-3-5-7-9-13-12*11-10-9*5-14-6*
1,11.76595744680851,99,0-1-2-5-14-6*14-6-9-10-12*2-5-14-8*4-3-5-7-9-13-12*11-10-9*5-14-6*
2,12.058027079303676,94,0-1-2-5-14-6*14-6-9-10*2-5-14-8*4-3-5-7-9-13-12*11-10-9*5-14-6*
4,11.976144422952933,98,0-1-2-5-14-6*5-7-14-6-9-10*2-5-14-8*4-3-5-7-9-13-12*11-10-9*5-14-6*
5,11.98581560283688,95,0-1-2-5-14-6*5-7-14-6-9-10*5-14-8*4-3-5-7-9-13-12*11-10-9*5-14-6*
6,11.55899419729207,118,0-1-2-5-14-6*5-7-14-6-9-10*5-14-8*1-4-3-5-7-9-13-12*3-11-10-9*5-14-6-9*
7,11.263700838168923,123,0-1-2-5-14-6*5-7-14-6-9-10*5-14-8*1-4-3-5-7-9-13-12-10*3-11-10-9*5-14-6-9*
10,11.127659574468085,133,0-1-2-5-14-6-9*5-7-14-6-9-10-11*5-14-8*1-4-3-5-7-9-13-12-10*3-11-10-9*5-14-6*
12,11.22308188265635,131,0-1-2-5-14-6-9-10*2-5-7-14-6-9-10-11*5-14-8*1-4-3-5-7-9-13-12-10*11-10-9*5-14-6*
13,11.016763378465505,168,0-1-2-5-14-6-9-10-11-3*2-5-7-14-6-9-10-11*5-14-8*1-4-3-5-7-9-13-12-10*11-10-9-12*5-14-6-9*
16,10.802707930367506,197,0-1-2-5-14-6-9-10-11-3*5-7-14-6-9-10-11*5-14-8*1-4-3-5-7-9-13-12-10-11*1-3-11-10-9-12-13*14-6-9-13-12*
20,10.793036750483559,213,0-1-2-5-14-6-9-10-11-3*7-14-6-9-10-11-3*2-5-14-8*1-4-3-5-7-9-13-12-10-11*1-3-11-10-9-12-13*14-6-9-13-12-10*
21,10.904577691811735,194,0-1-2-5-14-6-9-10-11-3*14-6-9-10-11-3*2-5-14-8*1-4-3-5-7-9-13-12*1-3-11-10-9-12*14-6-9-13-12-10*
22,10.944551901998711,192,0-1-2-5-14-6-9-10-11-3*14-6-9-10-11-3*2-5-14-8*1-4-3-5-7-9-13*1-3-11-10-9-12*14-6-9-13-12-10*
24,10.760799484203739,215,0-1-2-5-14-6-9-10-11-3*8-14-6-9-10-11-3*5-14-8*2-1-4-3-5-7-9-13-12-10*4-1-3-11-10-9-12*5-14-6-9-13-12-10*
30,10.709219858156029,217,0-1-2-5-14-6-9-10-11-3*8-14-6-9-10-11-3*1-2-5-14-8*2-1-4-3-5-7-9-13-12-10*4-1-3-11-10-9-12*7-5-14-6-9-13-12*
32,10.633139909735654,218,0-1-2-5-14-6-9-10-11-3*8-14-6-9-10-11*4-3-1-2-5-14-8*0-1-4-3-5-7-9-13-12*4-1-3-11-10-9-7*7-5-14-6-9-13-12-10*
33,10.588007736943908,228,0-1-2-5-14-6-9-10-11-3*8-14-6-9-10-11*4-3-1-2-5-14-8*0-1-4-3-5-7-9-13-12*4-1-3-11-10-9-7*7-5-14-6-9-13-12-10-11*
