,V1,V2,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
1,-33.925075,18.87079,,Food Science ,,,,1,0,1,1,1,10000,10000,10000,10000,10000,10000,10000,10000,10000
2,-33.925835,18.857158,,Nooitgedacht,,,,2,1,0,1,10000,1,10000,10000,10000,10000,1,10000,10000,10000
3,-33.927575,18.866976,,Stop at the front of Academia,,,,3,1,1,0,1,1,1,10000,10000,10000,10000,10000,10000,10000
4,-33.929381,18.874639,,Bus Stop on Cluver,,,,4,1,10000,1,0,1,1,10000,1,10000,10000,10000,1,10000
5,-33.931109,18.864616,,Bus Stop on Joubert Street,,,,5,10000,1,1,1,0,1,1,10000,10000,10000,10000,10000,10000
6,-33.93218,18.866687,,Neelsie Parking,,,,6,10000,10000,1,1,1,0,10000,1,1,10000,10000,10000,10000
7,-33.933206,18.862343,,In front of Admin A building,,,,7,10000,10000,10000,10000,1,10000,0,10000,1,1,10000,10000,10000
8,-33.934174,18.871354,,Stop in front of Enroute,,,,8,10000,10000,10000,1,10000,1,10000,0,1,10000,10000,1,10000
9,-33.934085,18.8657,,Stop at the Endler,,,,9,10000,10000,10000,10000,10000,1,1,1,0,10000,1,1,10000
10,-33.936748,18.861334,,Stellenbosch Town Hall,,,,10,10000,1,10000,10000,10000,10000,1,10000,10000,0,1,10000,10000
11,-33.938467,18.863858,,Theology Faculty,,,,11,10000,10000,10000,10000,10000,10000,10000,10000,1,1,0,1,1
12,-33.940022,18.8707,,Coetzenburg Sport Centre,,,,12,10000,10000,10000,1,10000,10000,10000,1,1,10000,1,0,1
13,-33.941982,18.866581,,Welgevallen,,,,13,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1,1,0
