,Unnamed: 0,Unnamed: 0.1,Source,Target,Travel_time,Demand,Demand_per_minute,Routes,|V|,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14
23,23,13,0,6,18.0,3030.0,168.33333333333334,0-1-2-5-14-6*,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,25,14,0,6,19.0,3840.0,202.10526315789474,0-1-2-5-7-14-6*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,20,15,0,6,20.0,2650.0,132.5,0-1-3-5-14-6*,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,22,16,0,6,21.0,3380.0,160.95238095238096,0-1-3-5-7-14-6*,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,19,17,0,6,27.0,3100.0,114.8148148148148,0-1-4-3-5-14-6*,7.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,40,29,0,7,17.0,2650.0,155.88235294117646,0-1-3-5-7*,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,30,0,7,18.0,3030.0,168.33333333333334,0-1-2-5-14-7*,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,39,31,0,7,20.0,2650.0,132.5,0-1-3-5-14-7*,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,52,42,0,8,26.0,2200.0,84.61538461538461,0-1-3-5-14-8*,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
84,84,52,0,9,23.0,6340.0,275.6521739130435,0-1-2-5-7-9*,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,83,53,0,9,25.0,6350.0,254.0,0-1-3-5-7-9*,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,82,54,0,9,25.0,6340.0,253.6,0-1-2-5-14-6-9*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
80,80,56,0,9,26.0,6340.0,243.84615384615384,0-1-2-5-14-7-9*,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
