"","V1","V2"
"1",277.954235221399,168.922810896205
"2",261.445678702911,172.0895377562
"3",260.027336140174,195.827639894016
"4",233.225790857573,184.287798998331
"5",248.702510907134,165.478611780402
"6",237.730702935287,212.747254245005
"7",200.3625735722,255.40078558347
"8",214.398979231192,237.961683391865
"9",229.236562301885,268.652204383385
"10",195.611305450573,238.00172067499
"11",196.28596855609,211.945869587435
"12",211.775284444447,194.659203696552
"13",184.237687042153,229.867197842252
"14",182.866805675387,248.032003908911
"15",229.771712338009,250.622456411328
"16",203.113008405825,405.261231268312
"17",232.358533424451,409.920351043956
"18",252.139774864099,408.513503773398
"19",272.228126171489,408.124911510825
"20",301.828395810362,410
"21",272.018272778523,0
"22",251.754946776754,2.2398392061329
"23",227.183022717294,19.1442733238889
"24",205.401154816248,31.4860078809182
"25",20,191.326596798225
"26",32.0395409545402,175.304569704984
"27",42.2701884539265,163.116685556697
"28",83.479992424362,380.907207396615
"29",108.027736973796,394.866564186535
"30",118.518271869519,407.704853448776
"31",372.166097270398,48.3373743004624
"32",370.434442257863,71.3781886535664
"33",371.998431169871,96.8769364681253
"34",371.921326927656,124.161777085582
"35",413.184566293881,273.130272984609
"36",420.72803448121,248.247547321507
"37",430,233.75583294276
