,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,400,200,60,80,150,75,75,30,160,30,25,35,0,0
1,400,0,50,120,20,180,90,90,15,130,20,10,10,5,0
2,200,50,0,10,60,180,90,90,15,45,20,10,10,5,0
3,60,120,10,0,50,100,50,50,15,240,40,25,10,5,0
4,80,20,60,50,0,50,25,25,10,120,20,15,5,0,0
5,150,180,180,100,50,0,100,100,30,880,60,15,15,10,0
6,75,90,90,50,25,100,0,50,15,440,35,10,10,5,0
7,75,90,90,50,25,100,50,0,15,440,35,10,10,5,0
8,30,15,15,15,10,30,15,15,0,140,20,5,0,0,0
9,160,130,45,240,120,880,440,440,140,0,600,250,500,200,0
10,30,20,20,40,20,60,35,35,20,600,0,75,95,15,0
11,25,10,10,25,15,15,10,10,5,250,75,0,70,0,0
12,35,10,10,10,5,15,10,10,0,500,95,70,0,45,0
13,0,5,5,5,0,10,5,5,0,200,15,0,45,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
