,Layers,Learning rate,Accuracy,Training time,Iterations
0,"[126, 15, 30, 15, 1]",0.01,91.1341,22.241219,100
1,"[126, 15, 30, 15, 1]",0.009,92.8003,22.520056,100
2,"[126, 15, 30, 15, 1]",0.0085,94.3091,22.172276,100
3,"[126, 15, 30, 15, 1]",0.008,95.6818,22.075311,100
4,"[126, 100, 50, 10, 1]",0.01,93.2073,45.62992,100
5,"[126, 100, 50, 10, 1]",0.009,94.3987,47.695588,100
6,"[126, 100, 50, 10, 1]",0.0085,95.0356,45.286429,100
7,"[126, 100, 50, 10, 1]",0.008,95.9308,46.252418,100
8,"[126, 50, 10, 1]",0.01,95.7612,24.019214,100
9,"[126, 50, 10, 1]",0.009,95.6377,23.908017,100
10,"[126, 50, 10, 1]",0.0085,95.5662,24.135537,100
11,"[126, 50, 10, 1]",0.008,95.4912,24.561882,100
