,Layers,Learning rate,Accuracy,Training time,Iterations
0,"[126, 15, 30, 15, 1]",0.01,76.2327,2.359658,10
1,"[126, 15, 30, 15, 1]",0.009,71.1221,2.274673,10
2,"[126, 15, 30, 15, 1]",0.0085,82.6718,2.287685,10
3,"[126, 15, 30, 15, 1]",0.008,85.2504,2.291664,10
4,"[126, 15, 30, 15, 1]",0.0075,84.1235,2.292578,10
5,"[126, 15, 30, 15, 1]",0.007,86.6575,2.277691,10
6,"[126, 15, 30, 15, 1]",0.0065,85.9046,2.264679,10
7,"[126, 15, 30, 15, 1]",0.006,82.4462,2.258701,10
8,"[126, 15, 30, 15, 1]",0.005,68.4792,2.284688,10
9,"[126, 20, 10, 5, 1]",0.01,62.7281,1.82595,10
10,"[126, 20, 10, 5, 1]",0.009,36.0597,1.839941,10
11,"[126, 20, 10, 5, 1]",0.0085,28.1566,1.865947,10
12,"[126, 20, 10, 5, 1]",0.008,21.4394,1.929871,10
13,"[126, 20, 10, 5, 1]",0.0075,16.9389,1.829949,10
14,"[126, 20, 10, 5, 1]",0.007,14.1123,1.837945,10
15,"[126, 20, 10, 5, 1]",0.0065,11.6876,1.852935,10
16,"[126, 20, 10, 5, 1]",0.006,9.0644,1.880918,10
17,"[126, 20, 10, 5, 1]",0.005,5.5029,1.89891,10
18,"[126, 50, 30, 10, 1]",0.01,47.9782,3.081115,10
19,"[126, 50, 30, 10, 1]",0.009,28.7229,3.078212,10
20,"[126, 50, 30, 10, 1]",0.0085,22.9513,3.099217,10
21,"[126, 50, 30, 10, 1]",0.008,18.787,3.083228,10
22,"[126, 50, 30, 10, 1]",0.0075,15.5939,3.098201,10
23,"[126, 50, 30, 10, 1]",0.007,13.1636,3.147174,10
24,"[126, 50, 30, 10, 1]",0.0065,11.2376,3.137197,10
25,"[126, 50, 30, 10, 1]",0.006,9.6571,3.129203,10
26,"[126, 50, 30, 10, 1]",0.005,7.244,3.110213,10
27,"[126, 50, 50, 30, 20, 1]",0.01,67.1135,4.339507,10
28,"[126, 50, 50, 30, 20, 1]",0.009,84.5359,4.326515,10
29,"[126, 50, 50, 30, 20, 1]",0.0085,60.5575,4.355496,10
30,"[126, 50, 50, 30, 20, 1]",0.008,43.3764,4.317518,10
31,"[126, 50, 50, 30, 20, 1]",0.0075,32.2282,4.378484,10
32,"[126, 50, 50, 30, 20, 1]",0.007,24.7818,4.361493,10
33,"[126, 50, 50, 30, 20, 1]",0.0065,19.7341,4.352516,10
34,"[126, 50, 50, 30, 20, 1]",0.006,15.972,4.331508,10
35,"[126, 50, 50, 30, 20, 1]",0.005,10.9261,4.342503,10
36,"[126, 10, 10, 10, 10, 10, 10, 1]",0.01,0,2.234716,10
37,"[126, 10, 10, 10, 10, 10, 10, 1]",0.009,0,2.184726,10
38,"[126, 10, 10, 10, 10, 10, 10, 1]",0.0085,0,2.198718,10
39,"[126, 10, 10, 10, 10, 10, 10, 1]",0.008,0,2.259684,10
40,"[126, 10, 10, 10, 10, 10, 10, 1]",0.0075,0,2.299678,10
41,"[126, 10, 10, 10, 10, 10, 10, 1]",0.007,0,2.482574,10
42,"[126, 10, 10, 10, 10, 10, 10, 1]",0.0065,0,2.447593,10
43,"[126, 10, 10, 10, 10, 10, 10, 1]",0.006,0,2.274691,10
44,"[126, 10, 10, 10, 10, 10, 10, 1]",0.005,0,2.183745,10
45,"[126, 20, 20, 20, 20, 20, 20, 1]",0.01,6.6847,3.382037,10
46,"[126, 20, 20, 20, 20, 20, 20, 1]",0.009,27.8988,3.403026,10
47,"[126, 20, 20, 20, 20, 20, 20, 1]",0.0085,5.0742,3.399027,10
48,"[126, 20, 20, 20, 20, 20, 20, 1]",0.008,33.9291,3.396046,10
49,"[126, 20, 20, 20, 20, 20, 20, 1]",0.0075,27.5201,3.41304,10
50,"[126, 20, 20, 20, 20, 20, 20, 1]",0.007,83.2826,3.467007,10
51,"[126, 20, 20, 20, 20, 20, 20, 1]",0.0065,57.4917,3.436025,10
52,"[126, 20, 20, 20, 20, 20, 20, 1]",0.006,32.7923,3.434026,10
53,"[126, 20, 20, 20, 20, 20, 20, 1]",0.005,14.8595,3.430028,10
54,"[126, 10, 50, 30, 10, 1]",0.01,36.7672,3.092205,10
55,"[126, 10, 50, 30, 10, 1]",0.009,20.4707,3.103216,10
56,"[126, 10, 50, 30, 10, 1]",0.0085,15.9583,3.126204,10
57,"[126, 10, 50, 30, 10, 1]",0.008,13.1725,3.150189,10
58,"[126, 10, 50, 30, 10, 1]",0.0075,11.137,3.227145,10
59,"[126, 10, 50, 30, 10, 1]",0.007,9.5239,3.322091,10
60,"[126, 10, 50, 30, 10, 1]",0.0065,8.1733,3.310098,10
61,"[126, 10, 50, 30, 10, 1]",0.006,7.0259,3.181171,10
62,"[126, 10, 50, 30, 10, 1]",0.005,5.3269,3.149171,10
63,"[126, 10, 50, 20, 6, 1]",0.01,41.0388,2.791397,10
64,"[126, 10, 50, 20, 6, 1]",0.009,63.2325,2.843366,10
65,"[126, 10, 50, 20, 6, 1]",0.0085,81.1715,2.786379,10
66,"[126, 10, 50, 20, 6, 1]",0.008,62.7254,2.80139,10
67,"[126, 10, 50, 20, 6, 1]",0.0075,42.2338,2.815381,10
68,"[126, 10, 50, 20, 6, 1]",0.007,29.8115,2.822396,10
69,"[126, 10, 50, 20, 6, 1]",0.0065,22.2129,2.809366,10
70,"[126, 10, 50, 20, 6, 1]",0.006,17.2623,2.846365,10
71,"[126, 10, 50, 20, 6, 1]",0.005,11.3839,2.818362,10
