,Exp,Layers,Learning rate,Training time [s],Accuracy,R2,MAE,MSE,Iterations
0,E0,"[126, 15, 30, 15, 1]",0.01,1.309247,0.4614,-129.8885,6.9576,50.7505,5
1,E1,"[126, 15, 30, 15, 1]",0.009,1.222296,0.329,-196.3943,8.6675,76.5374,5
2,E2,"[126, 15, 30, 15, 1]",0.0085,1.206304,0.2787,-225.8504,9.318,87.9587,5
3,E3,"[126, 15, 30, 15, 1]",0.008,1.17933,0.2371,-251.9216,9.8552,98.0675,5
4,E4,"[126, 21, 30, 15, 1]",0.01,1.259274,0.1001,-348.661,11.6243,135.5771,5
5,E5,"[126, 21, 30, 15, 1]",0.009,1.275264,0.083,-361.9678,11.845,140.7366,5
6,E6,"[126, 21, 30, 15, 1]",0.0085,1.262282,0.0755,-367.9485,11.9427,143.0556,5
7,E7,"[126, 21, 30, 15, 1]",0.008,1.251277,0.0687,-373.3366,12.0301,145.1448,5
8,E8,"[126, 50, 10, 1]",0.01,1.238286,0.1235,-330.7502,11.3217,128.6324,5
9,E9,"[126, 50, 10, 1]",0.009,1.404191,0.1019,-347.1992,11.6008,135.0103,5
10,E10,"[126, 50, 10, 1]",0.0085,1.255291,0.0913,-355.4235,11.7378,138.1992,5
11,E11,"[126, 50, 10, 1]",0.008,1.244326,0.0823,-362.4652,11.8538,140.9295,5
