,Layers,Learning rate,Training time,Accuracy,R2,MAE,MSE,Iterations
0,"[126, 15, 30, 15, 1]",0.01,3.435025,76.2327,-29.5237,3.0243,11.8352,10
1,"[126, 15, 30, 15, 1]",0.009,3.536973,71.1221,-39.8813,3.7635,15.8512,10
2,"[126, 15, 30, 15, 1]",0.0085,3.444017,82.6718,-17.6575,2.2653,7.2342,10
3,"[126, 15, 30, 15, 1]",0.008,3.424026,85.2504,-11.8667,1.8881,4.9889,10
4,"[126, 100, 50, 10, 1]",0.01,6.582217,78.4984,-23.3805,2.7298,9.4533,10
5,"[126, 100, 50, 10, 1]",0.009,6.6092,81.9033,-17.5439,2.2943,7.1902,10
6,"[126, 100, 50, 10, 1]",0.0085,6.618198,90.0319,-6.1479,1.2627,2.7715,10
7,"[126, 100, 50, 10, 1]",0.008,6.626192,86.935,-9.3717,1.7061,4.0215,10
8,"[126, 50, 10, 1]",0.01,3.598931,86.0794,-11.608,1.7931,4.8886,10
9,"[126, 50, 10, 1]",0.009,3.579944,85.1603,-16.1523,1.9281,6.6506,10
10,"[126, 50, 10, 1]",0.0085,3.663893,76.0716,-31.9533,3.1194,12.7773,10
11,"[126, 50, 10, 1]",0.008,3.561953,63.391,-63.6605,4.7579,25.0714,10
