,Exp,Layers,Learning rate,Training time [s],Accuracy,R2,MAE,MSE,Iterations
0,E0,"[126, 15, 30, 15, 1]",0.01,225.652499,0.9832,0.576,0.2173,0.1644,1000
1,E1,"[126, 15, 30, 15, 1]",0.009,224.37803,0.9825,0.5649,0.2266,0.1687,1000
2,E2,"[126, 15, 30, 15, 1]",0.0085,224.760448,0.9773,0.5042,0.2932,0.1922,1000
3,E3,"[126, 15, 30, 15, 1]",0.008,221.95693,0.9771,0.4929,0.2955,0.1966,1000
4,E4,"[126, 21, 30, 15, 1]",0.01,233.403623,0.9833,0.6016,0.2162,0.1545,1000
5,E5,"[126, 21, 30, 15, 1]",0.009,248.860557,0.9828,0.5808,0.2219,0.1625,1000
6,E6,"[126, 21, 30, 15, 1]",0.0085,241.384819,0.9669,0.275,0.4273,0.2811,1000
7,E7,"[126, 21, 30, 15, 1]",0.008,233.355688,0.9825,0.5643,0.2256,0.1689,1000
8,E8,"[126, 50, 10, 1]",0.01,237.908162,0.9814,0.5203,0.2398,0.186,1000
9,E9,"[126, 50, 10, 1]",0.009,235.934706,0.9808,0.4949,0.2479,0.1959,1000
10,E10,"[126, 50, 10, 1]",0.0085,234.220859,0.9804,0.4797,0.2528,0.2017,1000
11,E11,"[126, 50, 10, 1]",0.008,237.23375,0.98,0.4627,0.2583,0.2084,1000
