,Exp,Layers,Learning rate,Training time [s],Accuracy,R2,MAE,MSE,Iterations
0,E0,"[126, 15, 30, 15, 1]",0.01,22.782876,0.9129,-3.2918,1.1251,1.6641,100
1,E1,"[126, 15, 30, 15, 1]",0.009,22.477052,0.9272,-2.3428,0.9406,1.2961,100
2,E2,"[126, 15, 30, 15, 1]",0.0085,23.041728,0.9428,-1.5099,0.7392,0.9732,100
3,E3,"[126, 15, 30, 15, 1]",0.008,23.057719,0.9576,-1.0545,0.5471,0.7966,100
4,E4,"[126, 21, 30, 15, 1]",0.01,24.466907,0.9341,-1.7384,0.8519,1.0618,100
5,E5,"[126, 21, 30, 15, 1]",0.009,26.131949,0.9457,-1.3211,0.7018,0.9,100
6,E6,"[126, 21, 30, 15, 1]",0.0085,26.845536,0.9522,-1.1119,0.6176,0.8189,100
7,E7,"[126, 21, 30, 15, 1]",0.008,26.533716,0.9616,-0.9293,0.4964,0.7481,100
8,E8,"[126, 50, 10, 1]",0.01,26.630661,0.9583,-1.2391,0.5387,0.8682,100
9,E9,"[126, 50, 10, 1]",0.009,26.213901,0.9571,-1.3708,0.5544,0.9193,100
10,E10,"[126, 50, 10, 1]",0.0085,26.485744,0.9564,-1.4454,0.5635,0.9482,100
11,E11,"[126, 50, 10, 1]",0.008,26.252572,0.9556,-1.5227,0.5731,0.9782,100
