,Layers,Learning rate,Training time,Accuracy,R2,MAE,MSE,Iterations
0,"[126, 15, 30, 15, 1]",0.01,133.297392,97.897,0.4522,0.267,0.2124,500
1,"[126, 15, 30, 15, 1]",0.009,134.924456,97.8078,0.4141,0.2784,0.2272,500
2,"[126, 15, 30, 15, 1]",0.0085,113.767751,97.7657,0.3953,0.2837,0.2345,500
3,"[126, 15, 30, 15, 1]",0.008,130.001286,97.7458,0.3793,0.2862,0.2407,500
4,"[126, 100, 50, 10, 1]",0.01,278.119157,97.8098,0.3931,0.2783,0.2353,500
5,"[126, 100, 50, 10, 1]",0.009,285.724879,97.7219,0.3502,0.2895,0.252,500
6,"[126, 100, 50, 10, 1]",0.0085,258.873238,97.6733,0.3271,0.2957,0.2609,500
7,"[126, 100, 50, 10, 1]",0.008,279.241496,97.6195,0.3038,0.3026,0.2699,500
8,"[126, 50, 10, 1]",0.01,150.03877,97.5413,0.2843,0.3126,0.2775,500
9,"[126, 50, 10, 1]",0.009,157.722352,97.4327,0.2295,0.3264,0.2987,500
10,"[126, 50, 10, 1]",0.0085,143.615462,97.373,0.197,0.3341,0.3114,500
11,"[126, 50, 10, 1]",0.008,149.057334,97.3087,0.1601,0.3423,0.3257,500
