,Layers,Learning rate,Training time,Accuracy,R2,MAE,MSE,Iterations
0,"[126, 15, 30, 15, 1]",0.01,3.529973,76.2327,-29.5237,3.0243,11.8352,10
1,"[126, 15, 30, 15, 1]",0.009,3.387057,71.1221,-39.8813,3.7635,15.8512,10
2,"[126, 15, 30, 15, 1]",0.0085,3.405041,82.6718,-17.6575,2.2653,7.2342,10
3,"[126, 15, 30, 15, 1]",0.008,3.568949,85.2504,-11.8667,1.8881,4.9889,10
4,"[126, 100, 50, 10, 1]",0.01,6.918024,78.4984,-23.3805,2.7298,9.4533,10
5,"[126, 100, 50, 10, 1]",0.009,6.757117,81.9033,-17.5439,2.2943,7.1902,10
6,"[126, 100, 50, 10, 1]",0.0085,7.07893,90.0319,-6.1479,1.2627,2.7715,10
7,"[126, 100, 50, 10, 1]",0.008,6.922021,86.935,-9.3717,1.7061,4.0215,10
8,"[126, 50, 10, 1]",0.01,3.6539,86.0794,-11.608,1.7931,4.8886,10
9,"[126, 50, 10, 1]",0.009,3.669892,85.1603,-16.1523,1.9281,6.6506,10
10,"[126, 50, 10, 1]",0.0085,3.68988,76.0716,-31.9533,3.1194,12.7773,10
11,"[126, 50, 10, 1]",0.008,3.597932,63.391,-63.6605,4.7579,25.0714,10
