,Layers,Learning rate,Accuracy,Training time,Iterations
0,"[126, 15, 30, 15, 1]",0.01,97.897,138.26154,500
1,"[126, 15, 30, 15, 1]",0.009,97.8078,139.575412,500
2,"[126, 15, 30, 15, 1]",0.0085,97.7657,139.551797,500
3,"[126, 15, 30, 15, 1]",0.008,97.7458,135.615058,500
4,"[126, 100, 50, 10, 1]",0.01,97.8098,270.795368,500
5,"[126, 100, 50, 10, 1]",0.009,97.7219,298.290566,500
6,"[126, 100, 50, 10, 1]",0.0085,97.6733,283.138272,500
7,"[126, 100, 50, 10, 1]",0.008,97.6195,283.824878,500
8,"[126, 50, 10, 1]",0.01,97.5413,148.197826,500
9,"[126, 50, 10, 1]",0.009,97.4327,146.139012,500
10,"[126, 50, 10, 1]",0.0085,97.373,172.539838,500
11,"[126, 50, 10, 1]",0.008,97.3087,155.608571,500
