,Exp,Layers,Learning rate,Training time [s],Accuracy,R2,MAE,MSE,Iterations
0,E0,"[126, 15, 30, 15, 1]",0.01,249.586452,0.9755,0.4488,0.3152,0.3936,1000
1,E1,"[126, 15, 30, 15, 1]",0.009,258.652115,0.975,0.4335,0.3219,0.4045,1000
2,E2,"[126, 15, 30, 15, 1]",0.0085,251.630157,0.9693,0.3881,0.3957,0.4369,1000
3,E3,"[126, 15, 30, 15, 1]",0.008,248.625736,0.9601,0.2559,0.5132,0.5313,1000
4,E4,"[126, 21, 30, 15, 1]",0.01,272.0672,0.9761,0.4742,0.3074,0.3755,1000
5,E5,"[126, 21, 30, 15, 1]",0.009,276.475012,0.9755,0.4574,0.3148,0.3874,1000
6,E6,"[126, 21, 30, 15, 1]",0.0085,283.372231,0.9677,0.3897,0.4156,0.4358,1000
7,E7,"[126, 21, 30, 15, 1]",0.008,310.937532,0.9751,0.442,0.321,0.3984,1000
8,E8,"[126, 50, 10, 1]",0.01,308.880888,0.9735,0.3981,0.3416,0.4297,1000
9,E9,"[126, 50, 10, 1]",0.009,274.264672,0.9725,0.3642,0.3544,0.454,1000
10,E10,"[126, 50, 10, 1]",0.0085,273.91514,0.9719,0.3443,0.3621,0.4681,1000
11,E11,"[126, 50, 10, 1]",0.008,256.158796,0.9712,0.3222,0.3704,0.4839,1000
