,Exp,Layers,Learning rate,Training time [s],Accuracy,R2,MAE,MSE,Iterations
0,E0,"[126, 15, 30, 15, 1]",0.01,269.324214,0.9832,0.576,0.2173,0.1644,1000
1,E1,"[126, 15, 30, 15, 1]",0.009,269.543086,0.9825,0.5649,0.2266,0.1687,1000
2,E2,"[126, 15, 30, 15, 1]",0.0085,268.414738,0.9773,0.5042,0.2932,0.1922,1000
3,E3,"[126, 15, 30, 15, 1]",0.008,258.417483,0.9771,0.4929,0.2955,0.1966,1000
4,E4,"[126, 100, 50, 10, 1]",0.01,522.733556,0.9825,0.5648,0.2259,0.1687,1000
5,E5,"[126, 100, 50, 10, 1]",0.009,533.563654,0.982,0.5411,0.2329,0.1779,1000
6,E6,"[126, 100, 50, 10, 1]",0.0085,466.665999,0.9817,0.53,0.2366,0.1822,1000
7,E7,"[126, 100, 50, 10, 1]",0.008,455.835808,0.9814,0.5164,0.2403,0.1875,1000
8,E8,"[126, 50, 10, 1]",0.01,230.119806,0.9814,0.5203,0.2398,0.186,1000
9,E9,"[126, 50, 10, 1]",0.009,224.652365,0.9808,0.4949,0.2479,0.1959,1000
10,E10,"[126, 50, 10, 1]",0.0085,233.162102,0.9804,0.4797,0.2528,0.2017,1000
11,E11,"[126, 50, 10, 1]",0.008,233.308517,0.98,0.4627,0.2583,0.2084,1000
