,Layers,Learning rate,Accuracy,Training time,Iterations
0,"[126, 15, 30, 15, 1]",0.01,98.2816,224.428434,1000
1,"[126, 15, 30, 15, 1]",0.009,98.2169,225.330479,1000
2,"[126, 15, 30, 15, 1]",0.0085,97.7186,223.441603,1000
3,"[126, 15, 30, 15, 1]",0.008,97.7028,225.407407,1000
4,"[126, 100, 50, 10, 1]",0.01,98.2164,557.521213,1000
5,"[126, 100, 50, 10, 1]",0.009,98.1616,570.135332,1000
6,"[126, 100, 50, 10, 1]",0.0085,98.1326,568.831082,1000
7,"[126, 100, 50, 10, 1]",0.008,98.1035,582.079467,1000
8,"[126, 50, 10, 1]",0.01,98.1103,240.906862,1000
9,"[126, 50, 10, 1]",0.009,98.0458,238.18172,1000
10,"[126, 50, 10, 1]",0.0085,98.0075,244.255716,1000
11,"[126, 50, 10, 1]",0.008,97.9645,290.637965,1000
