,Exp,Layers,Learning rate,Training time [s],Accuracy,R2,MAE,MSE,Iterations
0,E0,"[126, 15, 30, 15, 1]",0.01,0.419721,0.0252,-409.0416,12.5922,158.989,1
1,E1,"[126, 15, 30, 15, 1]",0.009,0.296449,0.0232,-410.672,12.6173,159.6211,1
2,E2,"[126, 15, 30, 15, 1]",0.0085,0.326394,0.0223,-411.4744,12.6297,159.9322,1
3,E3,"[126, 15, 30, 15, 1]",0.008,0.324896,0.0213,-412.2717,12.642,160.2414,1
4,E4,"[126, 21, 30, 15, 1]",0.01,0.321403,0.0116,-420.4259,12.7676,163.4031,1
5,E5,"[126, 21, 30, 15, 1]",0.009,0.299942,0.0106,-421.261,12.7802,163.7269,1
6,E6,"[126, 21, 30, 15, 1]",0.0085,0.305931,0.0101,-421.6813,12.7866,163.8899,1
7,E7,"[126, 21, 30, 15, 1]",0.008,0.305931,0.0096,-422.1012,12.793,164.0527,1
8,E8,"[126, 50, 10, 1]",0.01,0.327392,0.0064,-424.8977,12.8352,165.137,1
9,E9,"[126, 50, 10, 1]",0.009,0.320904,0.0058,-425.3789,12.8425,165.3236,1
10,E10,"[126, 50, 10, 1]",0.0085,0.325895,0.0055,-425.613,12.846,165.4143,1
11,E11,"[126, 50, 10, 1]",0.008,0.315914,0.0053,-425.8355,12.8494,165.5006,1
