,Layers,Learning rate,Training time,Accuracy,R2,MAE,MSE,Iterations
0,"[126, 15, 30, 15, 1]",0.01,270.485546,98.2816,0.576,0.2173,0.1644,1000
1,"[126, 15, 30, 15, 1]",0.009,288.840088,98.2169,0.5649,0.2266,0.1687,1000
2,"[126, 15, 30, 15, 1]",0.0085,266.350924,97.7186,0.5042,0.2932,0.1922,1000
3,"[126, 15, 30, 15, 1]",0.008,267.774105,97.7028,0.4929,0.2955,0.1966,1000
4,"[126, 100, 50, 10, 1]",0.01,569.163886,98.2164,0.5648,0.2259,0.1687,1000
5,"[126, 100, 50, 10, 1]",0.009,491.045273,98.1616,0.5411,0.2329,0.1779,1000
6,"[126, 100, 50, 10, 1]",0.0085,500.070849,98.1326,0.53,0.2366,0.1822,1000
7,"[126, 100, 50, 10, 1]",0.008,545.499486,98.1035,0.5164,0.2403,0.1875,1000
8,"[126, 50, 10, 1]",0.01,280.182971,98.1103,0.5203,0.2398,0.186,1000
9,"[126, 50, 10, 1]",0.009,275.461686,98.0458,0.4949,0.2479,0.1959,1000
10,"[126, 50, 10, 1]",0.0085,285.8777,98.0075,0.4797,0.2528,0.2017,1000
11,"[126, 50, 10, 1]",0.008,312.631325,97.9645,0.4627,0.2583,0.2084,1000
