,f1_ATT,f2_TRT,Routes
0,12.796260477111542,87,1-3-11*9-13-12*9-6-14-8*8-14-5*0-1-2-5-7-9-10*5-3-4*
1,12.786589297227595,95,1-3-11*7-9-13-12*9-6-14-8*8-14-5*0-1-2-5-7-9-10*5-3-4*
2,12.581560283687944,100,1-3-11*7-9-13-12-10*9-6-14-8*8-14-5*0-1-2-5-7-9-10*5-3-4*
3,13.48033526756931,85,1-3-11*9-13-12*6-14-8*6-14-5-7*0-1-2-5-7-9-10*2-5-3-4-1*
4,11.501611863313991,133,1-3-11*7-9-13-12-10-11*7-9-6-14-8*8-14-5-7-9*0-1-2-5-7-9-10*1-2-5-3-4*
5,11.593810444874274,125,1-3-11*7-9-13-12-10-11*7-9-6-14*8-14-5-7-9*0-1-2-5-7-9-10*1-2-5-3-4*
8,11.578981302385557,129,1-3-11-10*9-13-12-10-11*9-6-14-7*8-14-5-7-9-10*1-2-5-7-9-13*0-1-2-5-3-4*
9,11.59832366215345,121,1-3-11-10*9-13-12-10-11*9-6-14-7*8-14-5-7-9-10*1-2-5-7-9*0-1-2-5-3-4*
11,12.210186976144422,114,1-3-11-10*9-13-12-10-11*6-14-7*8-14-5-7-9-10*1-2-5-7-9*0-1-2-5-3-4*
12,12.339780786589298,106,1-3-11-10*9-13-12-10-11*6-14-7*8-14-5-7-9-10*1-2-5-7*0-1-2-5-3-4*
13,12.488072211476467,103,3-11-10*9-13-12-10-11*6-14-7*8-14-5-7-9-10*1-2-5-7*0-1-2-5-3-4*
