,Source,Target,Travel_time,Demand,Demand_per_minute,Routes
0,0,1,10.0,6430.0,643.0,0-50-17-9-1*
1,0,1,6.0,6430.0,1071.6666666666667,0-50-17-9-1*
120,0,1,8.0,6430.0,803.75,0-50-17-9-1*
2,0,2,1.0,710.0,710.0,0-2*
3,0,3,1.0,970.0,970.0,0-3*
4,0,4,12.0,14020.0,1168.3333333333333,0-50-33-58-41-12-4*
5,0,4,11.0,14020.0,1274.5454545454545,0-50-33-58-41-12-4*
485,0,4,16.0,16420.0,1026.25,0-69-18-67-27-12-4*
486,0,4,13.0,16420.0,1263.076923076923,0-69-18-67-27-12-4*
6,0,5,10.0,5700.0,570.0,0-69-18-5*
7,0,5,5.0,5700.0,1140.0,0-69-18-5*
601,0,5,8.0,5700.0,712.5,0-69-18-5*
8,0,6,11.0,12560.0,1141.8181818181818,0-50-33-58-35-6*
9,0,6,9.0,12560.0,1395.5555555555557,0-50-33-58-35-6*
716,0,6,15.0,15610.0,1040.6666666666667,0-3-19-36-41-35-6*
717,0,6,12.0,15610.0,1300.8333333333333,0-3-19-36-41-35-6*
10,0,7,15.0,18940.0,1262.6666666666667,0-50-33-58-41-12-4-7*
11,0,7,12.0,21750.0,1812.5,0-50-33-58-35-6-47-7*
836,0,7,18.0,21100.0,1172.2222222222222,0-69-18-67-27-12-4-7*
837,0,7,15.0,21100.0,1406.6666666666667,0-69-18-67-27-12-4-7*
12,0,8,11.0,10480.0,952.7272727272727,0-50-17-10-8*
13,0,8,8.0,10480.0,1310.0,0-50-17-10-8*
958,0,8,6.0,10480.0,1746.6666666666667,0-50-17-10-8*
14,0,9,5.0,3840.0,768.0,0-50-17-9*
1084,0,9,7.0,3840.0,548.5714285714286,0-50-17-9*
1085,0,9,6.0,3840.0,640.0,0-50-17-9*
15,0,10,8.0,5510.0,688.75,0-50-17-10*
16,0,10,5.0,5510.0,1102.0,0-50-17-10*
17,0,11,11.0,7130.0,648.1818181818181,0-50-17-9-11*
18,0,11,7.0,7130.0,1018.5714285714286,0-50-17-9-11*
1303,0,11,10.0,7130.0,713.0,0-50-17-9-11*
1304,0,11,9.0,7130.0,792.2222222222222,0-50-17-9-11*
19,0,12,10.0,11130.0,1113.0,0-50-33-58-41-12*
20,0,12,9.0,11130.0,1236.6666666666667,0-50-33-58-41-12*
1429,0,12,15.0,11700.0,780.0,0-69-18-67-27-12*
1430,0,12,13.0,11700.0,900.0,0-69-18-67-27-12*
21,0,13,4.0,2230.0,557.5,0-50-13*
1533,0,13,5.0,2230.0,446.0,0-50-13*
22,0,14,2.0,2010.0,1005.0,0-2-14*
23,0,15,13.0,10270.0,790.0,0-50-17-9-11-15*
24,0,15,9.0,10270.0,1141.111111111111,0-50-17-9-11-15*
1760,0,15,14.0,10270.0,733.5714285714286,0-50-17-9-11-15*
1761,0,15,11.0,10270.0,933.6363636363636,0-50-17-9-11-15*
25,0,16,11.0,7060.0,641.8181818181819,0-50-17-9-16*
26,0,16,7.0,7060.0,1008.5714285714286,0-50-17-9-16*
1888,0,16,9.0,8840.0,982.2222222222222,0-50-17-10-16*
1889,0,16,6.0,8840.0,1473.3333333333333,0-50-17-10-16*
27,0,17,4.0,1910.0,477.5,0-50-17*
2011,0,17,5.0,1910.0,382.0,0-50-17*
28,0,18,8.0,3220.0,402.5,0-69-18*
29,0,18,4.0,3220.0,805.0,0-69-18*
2118,0,18,7.0,3220.0,460.0,0-69-18*
2119,0,18,6.0,3220.0,536.6666666666666,0-69-18*
30,0,19,4.0,1530.0,382.5,0-3-19*
31,0,19,2.0,1530.0,765.0,0-3-19*
2234,0,19,7.0,1530.0,218.57142857142858,0-3-19*
32,0,20,7.0,5200.0,742.8571428571429,0-50-13-20*
33,0,20,5.0,5200.0,1040.0,0-50-13-20*
34,0,21,18.0,15030.0,835.0,0-50-33-58-35-6-21*
35,0,21,10.0,15030.0,1503.0,0-50-33-58-35-6-21*
2443,0,21,16.0,20510.0,1281.875,0-3-19-36-41-35-6-21*
2444,0,21,13.0,20510.0,1577.6923076923076,0-3-19-36-41-35-6-21*
36,0,22,6.0,3530.0,588.3333333333334,0-3-19-22*
37,0,22,4.0,3530.0,882.5,0-3-19-22*
2551,0,22,8.0,3530.0,441.25,0-3-19-22*
2552,0,22,5.0,3530.0,706.0,0-3-19-22*
38,0,23,2.0,680.0,340.0,0-23*
2665,0,23,1.0,680.0,680.0,0-23*
39,0,24,17.0,15910.0,935.8823529411765,0-50-17-9-49-42-24*
40,0,24,13.0,15910.0,1223.8461538461538,0-50-17-9-49-42-24*
2772,0,24,15.0,22730.0,1515.3333333333333,0-50-33-58-35-6-21-24*
41,0,25,11.0,9400.0,854.5454545454545,0-50-33-58-41-25*
42,0,25,10.0,9400.0,940.0,0-50-33-58-41-25*
2888,0,25,12.0,9120.0,760.0,0-69-18-67-27-25*
2889,0,25,11.0,9120.0,829.0909090909091,0-69-18-67-27-25*
43,0,26,12.0,12290.0,1024.1666666666667,0-50-17-9-1-26*
44,0,26,9.0,12290.0,1365.5555555555557,0-50-17-9-1-26*
2993,0,26,13.0,12290.0,945.3846153846154,0-50-17-9-1-26*
2994,0,26,10.0,12290.0,1229.0,0-50-17-9-1-26*
45,0,27,9.0,10770.0,1196.6666666666667,0-50-33-58-41-27*
3108,0,27,14.0,6670.0,476.42857142857144,0-69-18-67-27*
3109,0,27,10.0,6670.0,667.0,0-69-18-67-27*
46,0,28,12.0,7620.0,635.0,0-50-17-10-28*
47,0,28,9.0,7620.0,846.6666666666666,0-50-17-10-28*
3213,0,28,7.0,7620.0,1088.5714285714287,0-50-17-10-28*
48,0,29,5.0,3740.0,748.0,0-3-29*
49,0,29,4.0,3740.0,935.0,0-3-29*
3329,0,29,2.0,3740.0,1870.0,0-3-29*
50,0,30,16.0,17100.0,1068.75,0-50-17-9-1-26-30*
51,0,30,12.0,17100.0,1425.0,0-50-17-9-1-26-30*
3440,0,30,15.0,15760.0,1050.6666666666667,0-50-17-9-11-15-30*
3441,0,30,12.0,15760.0,1313.3333333333333,0-50-17-9-11-15-30*
52,0,31,12.0,7040.0,586.6666666666666,0-50-17-9-31*
53,0,31,8.0,7040.0,880.0,0-50-17-9-31*
3557,0,31,11.0,7040.0,640.0,0-50-17-9-31*
3558,0,31,9.0,7040.0,782.2222222222222,0-50-17-9-31*
54,0,32,11.0,6970.0,633.6363636363636,0-69-18-32*
55,0,32,6.0,6970.0,1161.6666666666667,0-69-18-32*
3673,0,32,9.0,6970.0,774.4444444444445,0-69-18-32*
56,0,33,5.0,1190.0,238.0,0-50-33*
57,0,34,9.0,9110.0,1012.2222222222222,0-50-33-58-34*
58,0,34,7.0,9110.0,1301.4285714285713,0-50-33-58-34*
3881,0,34,12.0,10420.0,868.3333333333334,0-3-19-36-41-34*
3882,0,34,9.0,10420.0,1157.7777777777778,0-3-19-36-41-34*
59,0,35,10.0,9090.0,909.0,0-50-33-58-35*
60,0,35,8.0,9090.0,1136.25,0-50-33-58-35*
3975,0,35,14.0,10600.0,757.1428571428571,0-3-19-36-41-35*
3976,0,35,11.0,10600.0,963.6363636363636,0-3-19-36-41-35*
61,0,36,7.0,3990.0,570.0,0-3-19-36*
62,0,36,5.0,3990.0,798.0,0-3-19-36*
4081,0,36,8.0,3990.0,498.75,0-3-19-36*
63,0,37,12.0,5810.0,484.1666666666667,0-69-18-37*
64,0,37,7.0,5810.0,830.0,0-69-18-37*
4171,0,37,11.0,5810.0,528.1818181818181,0-69-18-37*
4172,0,37,9.0,5810.0,645.5555555555555,0-69-18-37*
65,0,38,5.0,2480.0,496.0,0-3-38*
66,0,38,3.0,2480.0,826.6666666666666,0-3-38*
4284,0,38,8.0,2480.0,310.0,0-3-38*
4285,0,38,2.0,2480.0,1240.0,0-3-38*
67,0,39,10.0,5060.0,506.0,0-3-48-39*
68,0,39,7.0,5060.0,722.8571428571429,0-3-48-39*
4387,0,39,10.0,7040.0,704.0,0-69-18-39*
4388,0,39,8.0,7040.0,880.0,0-69-18-39*
69,0,40,13.0,17170.0,1320.7692307692307,0-50-33-58-41-12-40*
70,0,40,11.0,24370.0,2215.4545454545455,0-50-33-58-35-6-47-40*
4513,0,40,18.0,16600.0,922.2222222222222,0-69-18-67-27-12-40*
4514,0,40,14.0,16600.0,1185.7142857142858,0-69-18-67-27-12-40*
71,0,41,8.0,5860.0,732.5,0-50-33-58-41*
4619,0,41,12.0,6490.0,540.8333333333334,0-3-19-36-41*
4620,0,41,6.0,6490.0,1081.6666666666667,0-3-19-36-41*
72,0,42,14.0,9670.0,690.7142857142857,0-50-17-9-49-42*
73,0,42,10.0,9670.0,967.0,0-50-17-9-49-42*
4722,0,42,15.0,9670.0,644.6666666666666,0-50-17-9-49-42*
4723,0,42,11.0,9670.0,879.0909090909091,0-50-17-9-49-42*
74,0,43,6.0,1850.0,308.3333333333333,0-50-43*
4837,0,43,5.0,1850.0,370.0,0-50-43*
75,0,44,5.0,3970.0,794.0,0-2-14-44*
76,0,44,3.0,3970.0,1323.3333333333333,0-2-14-44*
4945,0,44,6.0,3970.0,661.6666666666666,0-2-14-44*
77,0,45,7.0,5810.0,830.0,0-3-19-22-45*
78,0,45,6.0,5810.0,968.3333333333334,0-3-19-22-45*
5042,0,45,9.0,5810.0,645.5555555555555,0-3-19-22-45*
79,0,46,17.0,23380.0,1375.2941176470588,0-50-33-58-41-12-40-46*
80,0,46,14.0,32200.0,2300.0,0-50-33-58-35-6-47-40-46*
5146,0,46,14.0,34030.0,2430.714285714286,0-50-33-58-51-56-6-47-7-46*
81,0,47,14.0,18150.0,1296.4285714285713,0-50-33-58-35-6-47*
82,0,47,10.0,18150.0,1815.0,0-50-33-58-35-6-47*
5231,0,47,16.0,18490.0,1155.625,0-3-19-36-41-35-6-47*
5232,0,47,13.0,18490.0,1422.3076923076924,0-3-19-36-41-35-6-47*
83,0,48,6.0,2730.0,455.0,0-3-48*
84,0,48,5.0,2730.0,546.0,0-3-48*
5338,0,48,2.0,2730.0,1365.0,0-3-48*
85,0,49,12.0,5050.0,420.8333333333333,0-50-17-9-49*
86,0,49,8.0,5050.0,631.25,0-50-17-9-49*
5458,0,49,9.0,5050.0,561.1111111111111,0-50-17-9-49*
87,0,50,3.0,590.0,196.66666666666666,0-50*
5546,0,50,1.0,590.0,590.0,0-50*
88,0,51,9.0,6350.0,705.5555555555555,0-50-33-58-51*
5659,0,51,14.0,12470.0,890.7142857142857,0-50-17-10-8-51*
5660,0,51,7.0,12470.0,1781.4285714285713,0-50-17-10-8-51*
89,0,52,10.0,10330.0,1033.0,0-50-13-20-52*
90,0,52,7.0,10330.0,1475.7142857142858,0-50-13-20-52*
5759,0,52,8.0,10330.0,1291.25,0-50-13-20-52*
91,0,53,16.0,19270.0,1204.375,0-50-33-58-41-12-4-53*
92,0,53,13.0,23040.0,1772.3076923076924,0-50-33-58-35-6-47-53*
5857,0,53,19.0,22170.0,1166.842105263158,0-69-18-67-27-12-4-53*
5858,0,53,16.0,22170.0,1385.625,0-69-18-67-27-12-4-53*
93,0,54,8.0,3370.0,421.25,0-3-19-54*
94,0,54,6.0,3370.0,561.6666666666666,0-3-19-54*
5965,0,54,9.0,6290.0,698.8888888888889,0-69-18-54*
5966,0,54,8.0,6290.0,786.25,0-69-18-54*
95,0,55,9.0,5440.0,604.4444444444445,0-50-17-55*
96,0,55,7.0,5440.0,777.1428571428571,0-50-17-55*
97,0,56,10.0,10180.0,1018.0,0-50-33-58-51-56*
6160,0,56,11.0,16070.0,1460.909090909091,0-50-17-10-8-56*
6161,0,56,8.0,16070.0,2008.75,0-50-17-10-8-56*
98,0,57,10.0,6580.0,658.0,0-50-33-58-57*
6260,0,57,15.0,9740.0,649.3333333333334,0-3-19-36-41-57*
6261,0,57,12.0,9740.0,811.6666666666666,0-3-19-36-41-57*
99,0,58,6.0,4110.0,685.0,0-50-33-58*
100,0,59,9.0,3330.0,370.0,0-50-17-59*
101,0,59,6.0,3330.0,555.0,0-50-17-59*
102,0,60,6.0,5390.0,898.3333333333334,0-2-14-60*
103,0,60,4.0,5390.0,1347.5,0-2-14-60*
6548,0,60,3.0,5390.0,1796.6666666666667,0-2-14-60*
104,0,61,7.0,3430.0,490.0,0-2-14-61*
105,0,61,5.0,3430.0,686.0,0-2-14-61*
6646,0,61,4.0,3430.0,857.5,0-2-14-61*
6647,0,61,3.0,3430.0,1143.3333333333333,0-2-14-61*
106,0,62,15.0,8960.0,597.3333333333334,0-50-17-9-49-62*
107,0,62,11.0,8960.0,814.5454545454545,0-50-17-9-49-62*
6751,0,62,17.0,8960.0,527.0588235294117,0-50-17-9-49-62*
6752,0,62,13.0,8960.0,689.2307692307693,0-50-17-9-49-62*
108,0,63,19.0,17010.0,895.2631578947369,0-50-33-58-35-6-63*
109,0,63,11.0,17010.0,1546.3636363636363,0-50-33-58-35-6-63*
6859,0,63,16.0,19250.0,1203.125,0-3-19-36-41-35-6-63*
6860,0,63,13.0,19250.0,1480.7692307692307,0-3-19-36-41-35-6-63*
110,0,64,10.0,8400.0,840.0,0-50-33-58-64*
6962,0,64,9.0,8400.0,933.3333333333334,0-50-33-58-64*
111,0,65,9.0,4400.0,488.8888888888889,0-3-19-65*
112,0,65,7.0,4400.0,628.5714285714286,0-3-19-65*
7062,0,65,9.0,6310.0,701.1111111111111,0-69-18-65*
7063,0,65,8.0,6310.0,788.75,0-69-18-65*
113,0,66,7.0,2910.0,415.7142857142857,0-3-66*
114,0,66,6.0,2910.0,485.0,0-3-66*
7169,0,66,2.0,2910.0,1455.0,0-3-66*
115,0,67,13.0,4560.0,350.7692307692308,0-69-18-67*
116,0,67,9.0,4560.0,506.6666666666667,0-69-18-67*
7272,0,67,12.0,4560.0,380.0,0-69-18-67*
117,0,68,12.0,6010.0,500.8333333333333,0-50-17-9-68*
118,0,68,8.0,6010.0,751.25,0-50-17-9-68*
7348,0,68,11.0,6010.0,546.3636363636364,0-50-17-9-68*
7349,0,68,9.0,6010.0,667.7777777777778,0-50-17-9-68*
119,0,69,3.0,1470.0,490.0,0-69*
7466,0,69,1.0,1470.0,1470.0,0-69*
121,1,2,11.0,13920.0,1265.4545454545455,1-9-17-44-14-2*
122,1,2,7.0,13920.0,1988.5714285714287,1-9-17-44-14-2*
247,1,2,9.0,13920.0,1546.6666666666667,1-9-17-44-14-2*
248,1,2,6.0,13920.0,2320.0,1-9-17-44-14-2*
123,1,3,13.0,10660.0,820.0,1-9-17-50-0-3*
124,1,3,11.0,10660.0,969.0909090909091,1-9-17-50-0-3*
367,1,3,9.0,10660.0,1184.4444444444443,1-9-17-50-0-3*
368,1,3,7.0,10660.0,1522.857142857143,1-9-17-50-0-3*
125,1,4,15.0,21000.0,1400.0,1-26-8-51-34-25-4*
126,1,4,11.0,21000.0,1909.090909090909,1-26-8-51-34-25-4*
